Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Trevor van Riemsdyk,29,WSH,D,6,1,0,1,-2,0,0.1,1,0,0,0,0,0,0,6,16.7,107,11,3,0,0,,vanritr01,2020-2021,2021
Frank Vatrano,26,FLA,LW,8,1,0,1,0,2,0.0,1,0,0,1,0,0,0,23,4.3,113,3,12,1,4,20.0,vatrafr01,2020-2021,2021
Carter Verhaeghe,25,FLA,C,8,6,3,9,6,4,1.5,6,0,0,2,3,0,0,15,40.0,143,2,7,5,3,62.5,verhaca01,2020-2021,2021
Kristian Vesalainen,21,WPG,W,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0.0,30,3,2,0,0,,vesalkr01,2020-2021,2021
Jimmy Vesey,27,TOR,LW,11,2,1,3,0,2,0.2,2,0,0,0,1,0,0,15,13.3,144,4,7,0,2,0.0,veseyji02,2020-2021,2021
Gabriel Vilardi,21,LAK,C,10,3,0,3,-3,2,0.3,2,1,0,0,0,0,0,9,33.3,145,3,4,66,82,44.6,vilarga01,2020-2021,2021
Jake Virtanen,24,VAN,RW,11,1,0,1,0,6,-0.1,1,0,0,0,0,0,0,17,5.9,134,1,25,2,0,100.0,virtaja01,2020-2021,2021
Marc-Edouard Vlasic,33,SJS,D,9,0,0,0,-5,2,-0.1,0,0,0,0,0,0,0,8,0.0,196,16,5,0,0,,vlasima01,2020-2021,2021
Alexander Volkov,23,TBL,RW,4,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,1,0.0,37,1,4,0,0,,volkoal01,2020-2021,2021
Jakub Voracek,31,PHI,RW,12,3,8,11,2,6,1.0,3,0,0,0,5,3,0,18,16.7,197,6,5,2,2,50.0,voracja01,2020-2021,2021
Jakub Vrana,24,WSH,LW,11,3,5,8,3,4,0.9,3,0,0,1,3,2,0,21,14.3,173,1,10,1,0,100.0,vranaja01,2020-2021,2021
Austin Wagner,23,LAK,LW,6,1,1,2,-5,4,0.0,1,0,0,0,1,0,0,15,6.7,63,0,11,0,0,,wagneau01,2020-2021,2021
Chris Wagner,29,BOS,C,11,1,1,2,-1,6,0.1,1,0,0,0,1,0,0,19,5.3,137,5,18,23,14,62.2,wagnech01,2020-2021,2021
Oliver Wahlstrom,20,NYI,RW,2,1,0,1,1,2,0.2,1,0,0,0,0,0,0,2,50.0,21,0,4,0,0,,wahlsol01,2020-2021,2021
Sean Walker,26,LAK,D,7,0,2,2,-2,2,0.2,0,0,0,0,1,1,0,7,0.0,114,13,3,0,0,,walkese01,2020-2021,2021
Lucas Wallmark,25,CHI,C,5,0,3,3,0,2,0.2,0,0,0,0,0,2,1,3,0.0,78,0,8,27,37,42.2,wallmlu01,2020-2021,2021
Austin Watson,29,OTT,LW,11,3,2,5,-3,18,0.4,3,0,0,0,2,0,0,15,20.0,125,11,32,3,12,20.0,watsoau01,2020-2021,2021
Shea Weber,35,MTL,D,11,2,5,7,3,8,1.0,0,2,0,1,1,4,0,19,10.5,260,12,13,0,0,,webersh01,2020-2021,2021
Yannick Weber,32,PIT,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,23,0,4,0,0,,weberya01,2020-2021,2021
MacKenzie Weegar,27,FLA,D,8,0,3,3,1,2,0.5,0,0,0,0,3,0,0,17,0.0,185,8,13,0,0,,weegama01,2020-2021,2021
Andy Welinski,27,ANA,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,35,3,0,0,0,,welinan01,2020-2021,2021
Alexander Wennberg,26,FLA,C,8,0,2,2,0,0,-0.1,0,0,0,0,2,0,0,11,0.0,136,3,4,45,52,46.4,wennbal01,2020-2021,2021
Zach Werenski,23,CBJ,D,12,1,3,4,-8,9,0.2,1,0,0,0,1,2,0,29,3.4,290,11,10,0,0,,werenza01,2020-2021,2021
Blake Wheeler,34,WPG,RW,11,3,8,11,-9,14,0.6,2,1,0,0,3,5,0,23,13.0,212,5,12,1,2,33.3,wheelbl01,2020-2021,2021
Colin White,24,OTT,C,7,1,2,3,-4,4,0.1,1,0,0,0,1,1,0,14,7.1,100,5,11,29,39,42.6,whiteco02,2020-2021,2021
Zach Whitecloud,24,VEG,D,8,0,1,1,3,2,0.4,0,0,0,0,1,0,0,12,0.0,155,8,11,0,0,,whiteza01,2020-2021,2021
Tom Wilson,26,WSH,RW,9,4,4,8,1,9,1.0,3,1,0,1,3,1,0,15,26.7,162,4,39,5,5,50.0,wilsoto01,2020-2021,2021
Christian Wolanin,25,OTT,D,4,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,4,0.0,58,1,1,0,0,,wolanch01,2020-2021,2021
Miles Wood,25,NJD,LW,9,5,3,8,7,11,1.3,4,1,0,1,3,0,0,24,20.8,128,1,2,0,0,,woodmi01,2020-2021,2021
Kailer Yamamoto,22,EDM,RW,12,4,4,8,7,12,1.1,4,0,0,0,3,0,1,19,21.1,195,19,15,0,1,0.0,yamamka01,2020-2021,2021
Keith Yandle,34,FLA,D,8,2,5,7,2,12,1.2,1,1,0,0,0,5,0,18,11.1,137,7,4,0,0,,yandlke01,2020-2021,2021
Pavel Zacha,23,NJD,C,9,2,2,4,-1,2,0.2,2,0,0,0,1,1,0,19,10.5,151,2,5,60,69,46.5,zachapa01,2020-2021,2021
Filip Zadina,21,DET,RW,5,0,3,3,2,0,0.3,0,0,0,0,3,0,0,5,0.0,74,3,3,0,0,,zadinfi01,2020-2021,2021
Nikita Zadorov,25,CHI,D,12,0,1,1,0,2,0.4,0,0,0,0,1,0,0,12,0.0,226,17,51,0,0,,zadorni01,2020-2021,2021
Nikita Zaitsev,29,OTT,D,11,0,5,5,-1,2,0.7,0,0,0,0,5,0,0,13,0.0,234,19,20,0,0,,zaitsni01,2020-2021,2021
Travis Zajac,35,NJD,C,7,2,0,2,-1,2,0.1,2,0,0,0,0,0,0,10,20.0,118,2,8,46,64,41.8,zajactr01,2020-2021,2021
Jakub Zboril,23,BOS,D,11,0,2,2,0,4,0.6,0,0,0,0,1,1,0,9,0.0,200,8,18,0,0,,zborija01,2020-2021,2021
Mika Zibanejad,27,NYR,C,10,1,2,3,-4,8,-0.1,0,1,0,0,2,0,0,32,3.1,204,3,16,90,113,44.3,zibanmi01,2020-2021,2021
Artem Zub,25,OTT,D,3,0,2,2,0,4,0.2,0,0,0,0,2,0,0,1,0.0,44,0,3,0,0,,zubar01,2020-2021,2021
Jason Zucker,29,PIT,LW,10,3,2,5,-1,4,0.5,3,0,0,0,2,0,0,19,15.8,169,3,27,1,1,50.0,zuckeja01,2020-2021,2021
