Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Anthony Bitetto,30,NYR,D,6,1,0,1,-2,9,0.2,1,0,0,0,0,0,0,6,16.7,78,4,8,0,0,,bitetan01,2020-2021,2021
Anders Bjork,24,BOS,LW,14,1,2,3,2,4,0.3,1,0,0,0,2,0,0,8,12.5,168,3,15,0,0,,bjorkan01,2020-2021,2021
Oliver Bjorkstrand,25,CBJ,RW,17,4,9,13,-3,23,1.1,3,1,0,0,8,1,0,38,10.5,286,6,17,1,0,100.0,bjorkol01,2020-2021,2021
Tobias Bjornfot,19,LAK,D,2,0,1,1,2,0,0.3,0,0,0,0,1,0,0,1,0.0,35,2,2,0,0,,bjornto01,2020-2021,2021
Nick Bjugstad,28,MIN,C,12,2,1,3,0,10,0.3,2,0,0,1,1,0,0,26,7.7,154,10,13,51,63,44.7,bjugsni01,2020-2021,2021
Colin Blackwell,27,NYR,C,6,2,2,4,3,2,0.7,2,0,0,0,2,0,0,8,25.0,64,0,10,4,1,80.0,blackco01,2020-2021,2021
Sammy Blais,24,STL,LW,7,1,2,3,3,6,0.4,1,0,0,1,2,0,0,4,25.0,74,1,14,0,0,,blaissa01,2020-2021,2021
Anton Blidh,25,BOS,LW,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,19,2,3,0,0,,blidhan01,2020-2021,2021
Teddy Blueger,26,PIT,C,14,2,6,8,3,2,0.8,1,0,1,0,6,0,0,11,18.2,191,9,24,62,58,51.7,bluegte01,2020-2021,2021
Brock Boeser,23,VAN,RW,19,11,7,18,-3,8,2.4,7,3,1,1,4,3,0,52,21.2,358,4,15,1,1,50.0,boesebr01,2020-2021,2021
Zach Bogosian,30,TOR,D,16,0,1,1,6,10,0.7,0,0,0,0,1,0,0,11,0.0,233,13,23,0,0,,bogosza01,2020-2021,2021
Nick Bonino,32,MIN,C,11,1,1,2,-6,4,-0.2,0,1,0,0,1,0,0,19,5.3,186,14,3,114,90,55.9,boninni01,2020-2021,2021
Adam Boqvist,20,CHI,D,6,0,3,3,-1,4,0.4,0,0,0,0,1,2,0,5,0.0,96,4,4,0,0,,boqviad01,2020-2021,2021
Jesper Boqvist,22,NJD,C,5,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,3,0.0,68,3,2,3,5,37.5,boqvije01,2020-2021,2021
William Borgen,24,BUF,D,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.0,32,3,8,0,0,,borgewi01,2020-2021,2021
Mark Borowiecki,31,NSH,D,12,0,1,1,1,29,0.3,0,0,0,0,1,0,0,6,0.0,158,21,27,0,0,,borowma01,2020-2021,2021
Robert Bortuzzo,31,STL,D,6,0,0,0,1,6,0.1,0,0,0,0,0,0,0,3,0.0,74,4,6,0,0,,borturo01,2020-2021,2021
Evan Bouchard,21,EDM,D,6,1,3,4,0,2,0.6,1,0,0,0,3,0,0,22,4.5,100,5,7,0,0,,bouchev01,2020-2021,2021
Madison Bowey,25,CHI,D,2,0,1,1,1,0,0.2,0,0,0,0,1,0,0,0,,22,1,4,0,0,,boweyma01,2020-2021,2021
Travis Boyd,27,TOR,C,8,2,3,5,1,0,0.6,2,0,0,0,3,0,0,5,40.0,78,4,4,4,7,36.4,boydtr01,2020-2021,2021
Tyler Bozak,34,STL,C,7,0,2,2,-1,2,-0.1,0,0,0,0,2,0,0,2,0.0,93,5,2,37,29,56.1,bozakty01,2020-2021,2021
Erik Brannstrom,21,OTT,D,3,0,1,1,1,2,0.2,0,0,0,0,1,0,0,3,0.0,47,1,3,0,0,,branner01,2020-2021,2021
Derick Brassard,33,ARI,C,15,1,4,5,-2,0,0.2,1,0,0,0,3,1,0,16,6.3,236,0,19,51,55,48.1,brassde01,2020-2021,2021
Jesper Bratt,22,NJD,W,4,0,2,2,2,0,0.1,0,0,0,0,2,0,0,11,0.0,75,2,2,0,1,0.0,brattje01,2020-2021,2021
Justin Braun,33,PHI,D,13,0,1,1,4,2,0.4,0,0,0,0,1,0,0,9,0.0,234,19,19,0,0,,braunju01,2020-2021,2021
T.J. Brodie,30,TOR,D,16,0,5,5,2,0,0.8,0,0,0,0,3,2,0,16,0.0,354,20,8,0,0,,broditj01,2020-2021,2021
Jonas Brodin,27,MIN,D,11,2,4,6,2,8,1.4,2,0,0,1,4,0,0,21,9.5,255,19,5,0,0,,brodijo01,2020-2021,2021
Jonny Brodzinski,27,NYR,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,8,0,0,0,0,,brodzjo01,2020-2021,2021
Mathias Brome,26,DET,F,15,0,0,0,-7,8,-0.6,0,0,0,0,0,0,0,15,0.0,213,3,13,0,2,0.0,bromema01,2020-2021,2021
Adam Brooks,24,TOR,C,1,1,0,1,-1,0,0.1,0,1,0,0,0,0,0,1,100.0,9,0,1,1,1,50.0,brookad01,2020-2021,2021
Connor Brown,27,OTT,RW,17,3,6,9,-3,6,0.6,3,0,0,1,6,0,0,33,9.1,312,8,6,2,5,28.6,brownco02,2020-2021,2021
Dustin Brown,36,LAK,RW,14,7,6,13,5,10,1.9,2,5,0,0,4,2,0,29,24.1,240,3,27,1,1,50.0,browndu01,2020-2021,2021
Josh Brown,27,OTT,D,9,0,0,0,-6,8,-0.3,0,0,0,0,0,0,0,3,0.0,138,20,24,0,0,,brownjo01,2020-2021,2021
Pavel Buchnevich,25,NYR,LW,14,4,5,9,-4,5,0.8,4,0,0,1,3,2,0,34,11.8,279,7,10,1,5,16.7,buchnpa01,2020-2021,2021
Connor Bunnaman,22,PHI,F,8,0,1,1,-1,0,-0.2,0,0,0,0,1,0,0,7,0.0,97,1,11,28,22,56.0,bunnaco01,2020-2021,2021
Andre Burakovsky,25,COL,LW,10,3,5,8,-1,0,0.9,1,2,0,0,2,3,0,15,20.0,146,4,4,0,0,,burakan01,2020-2021,2021
Brent Burns,35,SJS,D,14,3,4,7,-4,14,1.1,2,1,0,1,3,1,0,42,7.1,381,16,12,0,0,,burnsbr01,2020-2021,2021
Will Butcher,26,NJD,D,1,1,0,1,2,0,0.4,1,0,0,0,0,0,0,1,100.0,18,2,0,0,0,,butchwi01,2020-2021,2021
Bowen Byram,19,COL,D,10,0,2,2,2,8,0.7,0,0,0,0,2,0,0,16,0.0,188,9,7,0,0,,byrambo01,2020-2021,2021
Paul Byron,31,MTL,LW,14,0,3,3,2,2,0.0,0,0,0,0,3,0,0,11,0.0,176,3,27,0,4,0.0,byronpa01,2020-2021,2021
Nicholas Caamano,22,DAL,RW,9,0,0,0,-5,2,-0.3,0,0,0,0,0,0,0,14,0.0,79,2,12,0,0,,caamani01,2020-2021,2021
Drake Caggiula,26,ARI,LW,11,0,5,5,1,10,0.4,0,0,0,0,5,0,0,17,0.0,140,3,19,2,4,33.3,caggidr01,2020-2021,2021
Matt Calvert,31,COL,LW,6,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,7,0.0,89,3,7,0,1,0.0,calvema01,2020-2021,2021
Kyle Capobianco,23,ARI,D,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,29,2,1,0,0,,capobky01,2020-2021,2021
Brandon Carlo,24,BOS,D,14,2,1,3,4,8,1.3,2,0,0,1,1,0,0,14,14.3,265,18,13,0,0,,carlobr01,2020-2021,2021
John Carlson,31,WSH,D,14,4,8,12,-8,2,1.1,1,3,0,1,6,2,0,39,10.3,348,18,15,0,0,,carlsjo01,2020-2021,2021
Lucas Carlsson,23,CHI,D,8,0,0,0,-1,0,0.1,0,0,0,0,0,0,0,6,0.0,102,3,3,0,0,,carlslu01,2020-2021,2021
Ryan Carpenter,30,CHI,C,9,1,0,1,0,6,0.0,1,0,0,0,0,0,0,20,5.0,119,4,17,5,9,35.7,carpery01,2020-2021,2021
Daniel Carr,29,WSH,LW,3,0,1,1,-2,0,0.0,0,0,0,0,1,0,0,3,0.0,31,4,3,0,0,,carrda01,2020-2021,2021
Connor Carrick,26,NJD,D,1,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,1,0.0,16,1,2,0,0,,carrico01,2020-2021,2021
William Carrier,26,VEG,LW,14,0,1,1,-3,4,-0.2,0,0,0,0,1,0,0,15,0.0,138,2,37,0,0,,carriwi01,2020-2021,2021
Jeff Carter,36,LAK,C,14,2,6,8,-5,4,0.4,1,1,0,0,4,2,0,42,4.8,242,9,14,14,25,35.9,carteje01,2020-2021,2021
Cody Ceci,27,PIT,D,11,1,4,5,1,8,0.8,1,0,0,0,4,0,0,12,8.3,202,17,16,0,0,,cecico01,2020-2021,2021
Erik Cernak,23,TBL,D,12,0,3,3,7,8,1.0,0,0,0,0,3,0,0,25,0.0,220,14,15,0,0,,cernaer01,2020-2021,2021
Thomas Chabot,24,OTT,D,16,3,6,9,-4,20,1.4,2,1,0,0,5,1,0,43,7.0,407,23,24,0,0,,chaboth01,2020-2021,2021
Michael Chaput,28,ARI,C,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,35,3,6,1,2,33.3,chapumi01,2020-2021,2021
Zdeno Chara,43,WSH,D,14,2,3,5,4,10,1.1,2,0,0,0,3,0,0,24,8.3,278,19,23,0,0,,charazd01,2020-2021,2021
Jalen Chatfield,24,VAN,D,9,0,0,0,-7,6,-0.4,0,0,0,0,0,0,0,8,0.0,129,6,8,0,0,,chatfja01,2020-2021,2021
Ben Chiarot,29,MTL,D,15,1,3,4,2,28,0.7,0,1,0,0,3,0,0,35,2.9,328,23,26,0,0,,chiarbe01,2020-2021,2021
Alex Chiasson,30,EDM,RW,10,2,1,3,-3,0,0.2,2,0,0,0,1,0,0,11,18.2,120,0,7,0,2,0.0,chiasal01,2020-2021,2021
Filip Chlapik,23,OTT,C,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,7,0,1,0,0,,chlapfi01,2020-2021,2021
Sasha Chmelevski,21,SJS,C,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0.0,6,0,0,2,4,33.3,chmelal01,2020-2021,2021
Jakob Chychrun,22,ARI,D,15,3,8,11,-1,12,1.9,2,1,0,1,4,4,0,43,7.0,339,25,23,0,0,,chychja01,2020-2021,2021
Filip Chytil,21,NYR,C,5,2,1,3,3,0,0.6,2,0,0,0,1,0,0,12,16.7,65,1,3,16,27,37.2,chytifi01,2020-2021,2021
Anthony Cirelli,23,TBL,C,12,4,6,10,6,4,1.2,3,1,0,2,5,1,0,24,16.7,215,8,13,57,66,46.3,cirelan01,2020-2021,2021
Casey Cizikas,29,NYI,C,15,3,1,4,-3,6,0.3,3,0,0,1,1,0,0,18,16.7,201,4,26,90,69,56.6,cizikca01,2020-2021,2021
Fredrik Claesson,28,SJS,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,9,1,1,0,0,,claesfr01,2020-2021,2021
Kale Clague,22,LAK,D,11,0,3,3,-3,4,0.3,0,0,0,0,3,0,0,20,0.0,206,10,6,0,0,,claguka01,2020-2021,2021
Kyle Clifford,30,STL,LW,14,3,0,3,2,12,0.4,3,0,0,0,0,0,0,14,21.4,117,5,22,0,0,,cliffky01,2020-2021,2021
Connor Clifton,25,BOS,D,7,0,0,0,0,9,0.2,0,0,0,0,0,0,0,7,0.0,119,10,23,0,0,,cliftco01,2020-2021,2021
Cal Clutterbuck,33,NYI,RW,15,1,4,5,-3,0,0.2,1,0,0,0,4,0,0,13,7.7,199,5,44,0,0,,cluttca01,2020-2021,2021
Braydon Coburn,35,OTT,D,8,0,1,1,-5,4,-0.1,0,0,0,0,1,0,0,5,0.0,139,7,16,0,0,,coburbr01,2020-2021,2021
Dylan Coghlan,22,VEG,D,6,0,1,1,-3,0,0.0,0,0,0,0,1,0,0,7,0.0,87,2,11,0,0,,coghldy01,2020-2021,2021
Andrew Cogliano,33,DAL,LW,12,2,2,4,3,4,0.5,2,0,0,0,2,0,0,21,9.5,157,4,17,0,3,0.0,coglian01,2020-2021,2021
Ian Cole,31,MIN,D,8,0,1,1,4,2,0.6,0,0,0,0,1,0,0,3,0.0,137,14,8,0,0,,coleia01,2020-2021,2021
Ian Cole,31,COL,D,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.0,29,2,4,0,0,,coleia01,2020-2021,2021
Blake Coleman,29,TBL,C,13,3,4,7,4,11,0.8,3,0,0,1,4,0,0,29,10.3,199,3,24,0,1,0.0,colembl01,2020-2021,2021
Blake Comeau,34,DAL,RW,8,0,3,3,1,2,0.1,0,0,0,0,3,0,0,13,0.0,122,2,16,11,17,39.3,comeabl01,2020-2021,2021
J.T. Compher,25,COL,LW,13,1,1,2,-3,13,-0.1,0,1,0,0,0,1,0,10,10.0,202,12,13,69,91,43.1,comphj,2020-2021,2021
Max Comtois,22,ANA,LW,16,7,2,9,3,8,1.5,7,0,0,1,1,1,0,28,25.0,233,10,30,3,5,37.5,comtoma01,2020-2021,2021
Brett Connolly,28,FLA,RW,9,1,1,2,5,0,0.3,1,0,0,0,1,0,0,9,11.1,104,4,12,1,2,33.3,connobr01,2020-2021,2021
Kyle Connor,24,WPG,LW,15,8,7,15,-4,6,1.5,4,4,0,1,7,0,0,37,21.6,292,4,11,2,0,100.0,connoky01,2020-2021,2021
Andrew Copp,26,WPG,C,15,4,8,12,5,4,1.2,3,1,0,0,7,1,0,41,9.8,293,9,19,28,30,48.3,coppan01,2020-2021,2021
Nick Cousins,27,NSH,C,14,1,4,5,-2,14,0.2,1,0,0,0,2,2,0,17,5.9,202,2,11,5,5,50.0,cousini01,2020-2021,2021
Logan Couture,31,SJS,C,14,7,6,13,3,4,1.8,6,1,0,1,4,2,0,40,17.5,279,7,13,111,107,50.9,coutulo01,2020-2021,2021
Sean Couturier,28,PHI,C,3,2,2,4,5,0,0.7,2,0,0,1,2,0,0,3,66.7,36,1,1,11,12,47.8,coutuse01,2020-2021,2021
Charlie Coyle,28,BOS,C,14,2,2,4,-3,6,0.2,2,0,0,0,2,0,0,21,9.5,234,5,9,58,68,46.0,coylech01,2020-2021,2021
Dylan Cozens,19,BUF,C,9,2,1,3,1,0,0.4,1,1,0,0,1,0,0,9,22.2,116,2,5,9,7,56.3,cozendy01,2020-2021,2021
Sidney Crosby,33,PIT,C,14,5,7,12,-1,6,1.2,3,2,0,2,5,2,0,34,14.7,286,9,11,169,129,56.7,crosbsi01,2020-2021,2021
Lawson Crouse,23,ARI,LW,12,0,1,1,-6,4,-0.4,0,0,0,0,0,1,0,13,0.0,173,11,42,4,4,50.0,crousla01,2020-2021,2021
Austin Czarnik,28,NYI,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,14,1,0,1,1,50.0,czarnau01,2020-2021,2021
Kevin Czuczman,30,PIT,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0.0,23,2,1,0,0,,czuczke01,2020-2021,2021
Evgenii Dadonov,31,OTT,RW,17,6,2,8,-4,0,0.8,6,0,0,1,1,1,0,37,16.2,290,5,13,0,1,0.0,dadonev01,2020-2021,2021
Rasmus Dahlin,20,BUF,D,12,1,3,4,-12,4,0.2,0,1,0,0,0,3,0,34,2.9,248,7,10,0,0,,dahlira01,2020-2021,2021
Michael Dal Colle,24,NYI,LW,8,0,2,2,1,2,0.1,0,0,0,0,2,0,0,2,0.0,95,5,9,0,2,0.0,dalcomi01,2020-2021,2021
Phillip Danault,27,MTL,C,15,0,6,6,2,10,0.2,0,0,0,0,5,0,1,17,0.0,242,7,21,128,115,52.7,danauph01,2020-2021,2021
Brandon Davidson,29,BUF,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,12,0,1,0,0,,davidbr01,2020-2021,2021
Calvin de Haan,29,CHI,D,17,1,1,2,-8,4,0.2,1,0,0,1,1,0,0,26,3.8,344,38,37,0,0,,dehaaca01,2020-2021,2021
Jacob de La Rose,25,STL,LW,4,0,1,1,0,0,0.0,0,0,0,0,1,0,0,2,0.0,44,5,6,10,13,43.5,delarja01,2020-2021,2021
Anthony DeAngelo,25,NYR,D,6,0,1,1,-6,4,-0.2,0,0,0,0,0,1,0,13,0.0,111,6,3,0,0,,deangan01,2020-2021,2021
Alex DeBrincat,23,CHI,RW,13,8,8,16,4,2,2.2,5,3,0,3,5,3,0,44,18.2,259,8,13,1,4,20.0,debrial01,2020-2021,2021
Jake Debrusk,24,BOS,LW,9,0,2,2,-2,0,0.0,0,0,0,0,2,0,0,20,0.0,123,3,9,2,2,50.0,debruja01,2020-2021,2021
Danny DeKeyser,30,DET,D,10,1,0,1,-1,6,0.4,1,0,0,0,0,0,0,8,12.5,155,12,6,0,0,,dekeyda01,2020-2021,2021
Michael Del Zotto,30,CBJ,D,17,1,5,6,9,0,1.6,1,0,0,0,5,0,0,35,2.9,281,21,38,0,0,,delzomi01,2020-2021,2021
Ty Dellandrea,20,DAL,C,10,1,1,2,1,10,0.1,0,1,0,0,1,0,0,12,8.3,138,4,15,31,33,48.4,dellaty01,2020-2021,2021
Dylan DeMelo,27,WPG,D,11,0,3,3,1,6,0.5,0,0,0,0,3,0,0,13,0.0,183,19,18,0,0,,demeldy01,2020-2021,2021
Jason Demers,32,ARI,D,14,0,2,2,0,14,0.6,0,0,0,0,2,0,0,15,0.0,251,10,16,0,0,,demerja01,2020-2021,2021
Travis Dermott,24,TOR,D,12,1,0,1,3,4,0.5,1,0,0,0,0,0,0,12,8.3,129,11,5,0,0,,dermotr01,2020-2021,2021
Nicolas Deslauriers,29,ANA,LW,16,3,2,5,1,10,0.7,3,0,0,1,2,0,0,20,15.0,183,8,36,0,0,,deslani01,2020-2021,2021
Phillip Di Giuseppe,27,NYR,LW,13,0,5,5,2,2,0.4,0,0,0,0,5,0,0,29,0.0,152,8,30,0,2,0.0,digiuph01,2020-2021,2021
Jason Dickinson,25,DAL,C,12,3,2,5,-2,6,0.4,3,0,0,1,1,1,0,12,25.0,193,18,19,23,24,48.9,dickija01,2020-2021,2021
Brenden Dillon,30,WSH,D,14,1,4,5,3,16,0.9,1,0,0,0,4,0,0,12,8.3,267,18,30,0,0,,dillobr01,2020-2021,2021
Christian Djoos,26,DET,D,13,1,2,3,-2,0,0.6,1,0,0,0,2,0,0,17,5.9,212,13,5,0,0,,djoosch01,2020-2021,2021
Noah Dobson,21,NYI,D,15,1,6,7,0,4,1.3,1,0,0,0,3,3,0,28,3.6,260,20,13,0,0,,dobsono01,2020-2021,2021
Max Domi,25,CBJ,LW,17,2,4,6,-7,11,0.0,1,1,0,0,3,1,0,32,6.3,263,3,5,67,67,50.0,domima01,2020-2021,2021
Ryan Donato,24,SJS,C,14,3,4,7,-5,6,0.5,2,1,0,0,3,1,0,26,11.5,206,6,10,12,15,44.4,donatry01,2020-2021,2021
Joonas Donskoi,28,COL,RW,13,5,5,10,5,0,1.5,3,2,0,1,4,1,0,13,38.5,176,3,4,4,7,36.4,donskjo01,2020-2021,2021
