Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Noel Acciari,29,FLA,C,12,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,14,0.0,175,18,33,63,65,49.2,acciano01,2020-2021,2021
Calen Addison,20,MIN,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,20,1,0,0,0,,addisca01,2020-2021,2021
Andrew Agozzino,30,ANA,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,16,6,3,10,8,55.6,agozzan01,2020-2021,2021
Sebastian Aho,23,CAR,F,13,4,9,13,3,6,1.3,3,1,0,1,5,4,0,32,12.5,248,7,5,84,95,46.9,ahose01,2020-2021,2021
Mark Alt,29,LAK,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,27,1,2,0,0,,altma01,2020-2021,2021
Michael Amadio,24,LAK,C,11,0,2,2,-3,0,-0.1,0,0,0,0,1,1,0,11,0.0,143,6,1,42,40,51.2,amadimi01,2020-2021,2021
Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,10,3,0,0,1,0.0,anderjo08,2020-2021,2021
Josh Anderson,26,MTL,RW,15,9,2,11,5,14,1.9,8,0,1,3,2,0,0,40,22.5,218,8,42,0,1,0.0,anderjo05,2020-2021,2021
Michael Anderson,21,LAK,D,14,0,3,3,-1,8,0.6,0,0,0,0,3,0,0,6,0.0,300,21,15,0,0,,andermi02,2020-2021,2021
Jaret Anderson-Dolan,21,LAK,C,5,3,2,5,2,4,0.8,2,1,0,1,2,0,0,5,60.0,67,0,11,20,19,51.3,anderja01,2020-2021,2021
Lias Andersson,22,LAK,C,11,1,0,1,-6,6,-0.2,1,0,0,0,0,0,0,11,9.1,119,1,3,13,24,35.1,anderli01,2020-2021,2021
Rasmus Andersson,24,CGY,D,15,2,7,9,0,8,1.5,1,1,0,0,4,3,0,24,8.3,313,25,7,0,0,,anderra01,2020-2021,2021
Artem Anisimov,32,OTT,C,6,0,1,1,-4,2,-0.2,0,0,0,0,1,0,0,10,0.0,69,4,3,7,14,33.3,anisiar01,2020-2021,2021
Mason Appleton,25,WPG,C,15,4,5,9,7,4,1.1,4,0,0,0,4,0,1,26,15.4,205,7,17,6,5,54.5,applema01,2020-2021,2021
Josh Archibald,28,EDM,RW,17,3,2,5,0,8,0.4,3,0,0,0,2,0,0,20,15.0,214,14,57,1,3,25.0,archijo01,2020-2021,2021
Joel Armia,27,MTL,RW,8,2,3,5,6,2,0.8,1,0,1,0,2,0,1,9,22.2,108,1,9,0,4,0.0,armiajo01,2020-2021,2021
Viktor Arvidsson,27,NSH,LW,15,2,5,7,-1,8,0.4,1,1,0,0,4,1,0,48,4.2,268,11,2,4,11,26.7,arvidvi01,2020-2021,2021
Rasmus Asplund,23,BUF,F,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,18,0,0,0,1,0.0,asplura01,2020-2021,2021
Zach Aston-Reese,26,PIT,C,3,3,0,3,4,0,0.7,3,0,0,0,0,0,0,10,30.0,44,1,8,1,2,33.3,astonza01,2020-2021,2021
Andreas Athanasiou,26,LAK,C,7,3,2,5,0,0,0.7,3,0,0,0,1,1,0,7,42.9,94,3,1,2,0,100.0,athanan01,2020-2021,2021
Cam Atkinson,31,CBJ,RW,17,6,7,13,-1,2,1.3,3,0,3,1,4,3,0,46,13.0,303,10,3,3,9,25.0,atkinca01,2020-2021,2021
Nicolas Aube-Kubel,24,PHI,RW,13,1,3,4,-1,19,0.1,1,0,0,0,3,0,0,8,12.5,146,5,27,0,0,,aubekni01,2020-2021,2021
David Backes,36,ANA,C,7,1,0,1,0,2,0.1,1,0,0,1,0,0,0,18,5.6,96,11,14,47,40,54.0,backeda01,2020-2021,2021
Mikael Backlund,31,CGY,C,14,3,5,8,-2,8,0.7,3,0,0,0,3,2,0,34,8.8,227,8,15,82,77,51.6,backlmi01,2020-2021,2021
Nicklas Backstrom,33,WSH,C,14,7,12,19,-1,4,2.1,5,2,0,0,8,4,0,31,22.6,275,8,6,79,120,39.7,backsni02,2020-2021,2021
Josh Bailey,31,NYI,C,15,1,7,8,1,2,0.6,1,0,0,0,4,3,0,28,3.6,265,4,0,8,7,53.3,bailejo01,2020-2021,2021
Justin Bailey,25,VAN,RW,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,6,0.0,20,0,2,0,0,,baileju01,2020-2021,2021
Rudolfs Balcers,23,SJS,LW,4,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,1,0.0,46,3,8,0,0,,balceru01,2020-2021,2021
Alexander Barabanov,26,TOR,F,7,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,0.0,44,4,3,0,0,,barabal01,2020-2021,2021
Ivan Barbashev,25,STL,C,16,2,4,6,6,4,0.5,2,0,0,0,4,0,0,19,10.5,216,6,20,21,33,38.9,barbaiv01,2020-2021,2021
Aleksander Barkov,25,FLA,C,13,5,9,14,2,2,1.5,3,2,0,1,5,4,0,45,11.1,272,4,8,134,107,55.6,barkoal01,2020-2021,2021
Tyson Barrie,29,EDM,D,17,3,11,14,-2,2,1.7,1,2,0,1,6,5,0,49,6.1,379,21,6,0,0,,barrity01,2020-2021,2021
Matt Bartkowski,32,MIN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,13,1,1,0,0,,bartkma01,2020-2021,2021
Mathew Barzal,23,NYI,C,15,6,9,15,5,24,2.0,5,1,0,1,6,3,0,34,17.6,295,3,7,57,54,51.4,barzama01,2020-2021,2021
Nathan Bastian,23,NJD,RW,10,1,3,4,3,2,0.4,1,0,0,0,3,0,0,13,7.7,128,3,21,4,8,33.3,bastina01,2020-2021,2021
Drake Batherson,22,OTT,C,17,2,5,7,-7,4,0.2,1,1,0,0,1,4,0,39,5.1,275,12,29,2,2,50.0,bathedr01,2020-2021,2021
Jay Beagle,35,VAN,RW,19,1,4,5,0,6,0.2,1,0,0,0,4,0,0,14,7.1,258,6,27,127,99,56.2,beaglja01,2020-2021,2021
Jake Bean,22,CAR,D,4,0,2,2,1,2,0.3,0,0,0,0,2,0,0,4,0.0,49,1,1,0,0,,beanja01,2020-2021,2021
Ethan Bear,23,EDM,D,9,0,2,2,5,2,0.7,0,0,0,0,2,0,0,10,0.0,184,9,7,0,0,,bearet01,2020-2021,2021
Nicolas Beaudin,21,CHI,D,9,2,3,5,4,2,1.2,2,0,0,0,2,1,0,5,40.0,133,11,6,0,0,,beaudni01,2020-2021,2021
Nathan Beaulieu,28,WPG,D,15,0,1,1,0,14,0.2,0,0,0,0,1,0,0,17,0.0,259,21,24,0,0,,beaulna01,2020-2021,2021
Anthony Beauvillier,23,NYI,LW,6,0,1,1,-1,0,-0.1,0,0,0,0,0,1,0,5,0.0,90,1,5,0,2,0.0,beauvan01,2020-2021,2021
Pierre-Edouard Bellemare,35,COL,LW,10,0,0,0,1,4,-0.1,0,0,0,0,0,0,0,6,0.0,110,4,5,50,29,63.3,bellepi01,2020-2021,2021
Kieffer Bellows,22,NYI,LW,7,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,10,0.0,69,3,15,1,0,100.0,belloki01,2020-2021,2021
Louis Belpedio,24,MIN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,14,1,3,0,0,,belpelo01,2020-2021,2021
Emil Bemstrom,21,CBJ,C,5,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,7,0.0,59,3,4,0,0,,bemstem01,2020-2021,2021
Jamie Benn,31,DAL,LW,8,3,4,7,3,9,0.9,3,0,0,0,3,1,0,20,15.0,140,5,5,32,33,49.2,bennja01,2020-2021,2021
Jordie Benn,33,VAN,D,13,0,3,3,-1,5,0.4,0,0,0,0,3,0,0,13,0.0,191,21,7,0,0,,bennjo01,2020-2021,2021
Sam Bennett,24,CGY,C,14,2,1,3,-3,4,0.1,2,0,0,0,1,0,0,23,8.7,189,6,28,17,24,41.5,bennesa01,2020-2021,2021
Matt Benning,26,NSH,D,14,0,0,0,-3,10,0.0,0,0,0,0,0,0,0,9,0.0,200,12,12,0,0,,bennima01,2020-2021,2021
Patrice Bergeron,35,BOS,C,14,7,11,18,6,2,2.4,2,4,1,1,6,5,0,52,13.5,263,8,9,198,121,62.1,bergepa01,2020-2021,2021
Tyler Bertuzzi,25,DET,LW,9,5,2,7,0,4,1.0,2,3,0,1,1,1,0,20,25.0,177,3,13,1,1,50.0,bertuty01,2020-2021,2021
Alex Biega,32,DET,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,12,1,3,0,0,,biegaal01,2020-2021,2021
