Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Noel Acciari,29,FLA,C,3,0,0,0,2,0,-0.1,0,0,0,0,0,0,0,1,0.0,47,7,6,22,27,44.9,acciano01,2020-2021,2021
Sebastian Aho,23,CAR,F,3,1,2,3,2,0,0.4,1,0,0,1,1,1,0,7,14.3,58,1,1,23,25,47.9,ahose01,2020-2021,2021
Mark Alt,29,LAK,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,12,1,0,0,0,,altma01,2020-2021,2021
Michael Amadio,24,LAK,C,6,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,7,0.0,74,5,1,23,23,50.0,amadimi01,2020-2021,2021
Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,10,3,0,0,1,0.0,anderjo08,2020-2021,2021
Josh Anderson,26,MTL,RW,6,3,1,4,2,8,0.6,3,0,0,1,1,0,0,21,14.3,89,4,13,0,1,0.0,anderjo05,2020-2021,2021
Michael Anderson,21,LAK,D,7,0,1,1,1,4,0.3,0,0,0,0,1,0,0,2,0.0,147,8,8,0,0,,andermi02,2020-2021,2021
Lias Andersson,22,LAK,C,5,1,0,1,1,6,0.2,1,0,0,0,0,0,0,4,25.0,56,1,1,2,9,18.2,anderli01,2020-2021,2021
Rasmus Andersson,24,CGY,D,5,1,3,4,0,0,0.7,1,0,0,0,1,2,0,10,10.0,107,7,3,0,0,,anderra01,2020-2021,2021
Artem Anisimov,32,OTT,C,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,7,0.0,50,4,3,6,13,31.6,anisiar01,2020-2021,2021
Mason Appleton,25,WPG,C,7,0,3,3,2,2,0.2,0,0,0,0,3,0,0,11,0.0,87,1,8,3,3,50.0,applema01,2020-2021,2021
Josh Archibald,28,EDM,RW,8,1,0,1,-4,0,-0.1,1,0,0,0,0,0,0,6,16.7,99,8,32,0,1,0.0,archijo01,2020-2021,2021
Joel Armia,27,MTL,RW,5,2,3,5,6,2,0.8,1,0,1,0,2,0,1,7,28.6,63,1,7,0,4,0.0,armiajo01,2020-2021,2021
Viktor Arvidsson,27,NSH,LW,6,1,4,5,1,2,0.4,0,1,0,0,3,1,0,23,4.3,112,6,0,1,5,16.7,arvidvi01,2020-2021,2021
Rasmus Asplund,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,7,0,0,0,0,,asplura01,2020-2021,2021
Andreas Athanasiou,26,LAK,C,7,3,2,5,0,0,0.7,3,0,0,0,1,1,0,7,42.9,94,3,1,2,0,100.0,athanan01,2020-2021,2021
Cam Atkinson,31,CBJ,RW,7,1,2,3,-4,0,0.0,0,0,1,0,1,1,0,16,6.3,118,5,0,0,3,0.0,atkinca01,2020-2021,2021
Nicolas Aube-Kubel,24,PHI,RW,7,1,1,2,-2,10,0.0,1,0,0,0,1,0,0,4,25.0,80,3,18,0,0,,aubekni01,2020-2021,2021
Mikael Backlund,31,CGY,C,5,1,2,3,-3,4,0.2,1,0,0,0,1,1,0,8,12.5,80,3,5,26,24,52.0,backlmi01,2020-2021,2021
Nicklas Backstrom,33,WSH,C,7,4,4,8,-1,2,0.9,2,2,0,0,2,2,0,20,20.0,137,7,2,43,62,41.0,backsni02,2020-2021,2021
Josh Bailey,31,NYI,C,6,0,1,1,0,2,0.0,0,0,0,0,1,0,0,10,0.0,108,1,0,3,2,60.0,bailejo01,2020-2021,2021
Alexander Barabanov,26,TOR,F,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,23,4,2,0,0,,barabal01,2020-2021,2021
Ivan Barbashev,25,STL,C,7,0,2,2,1,2,0.0,0,0,0,0,2,0,0,6,0.0,82,1,11,11,13,45.8,barbaiv01,2020-2021,2021
Aleksander Barkov,25,FLA,C,3,1,3,4,2,2,0.4,1,0,0,0,2,1,0,16,6.3,65,1,2,37,22,62.7,barkoal01,2020-2021,2021
Tyson Barrie,29,EDM,D,8,0,2,2,-5,0,0.0,0,0,0,0,1,1,0,15,0.0,166,13,4,0,0,,barrity01,2020-2021,2021
Mathew Barzal,23,NYI,C,6,3,3,6,3,8,1.0,3,0,0,0,2,1,0,16,18.8,117,2,1,20,14,58.8,barzama01,2020-2021,2021
Nathan Bastian,23,NJD,RW,6,1,1,2,2,2,0.2,1,0,0,0,1,0,0,7,14.3,74,0,14,3,5,37.5,bastina01,2020-2021,2021
Drake Batherson,22,OTT,C,6,0,3,3,-4,0,-0.1,0,0,0,0,1,2,0,18,0.0,102,3,14,0,1,0.0,bathedr01,2020-2021,2021
Jay Beagle,35,VAN,RW,8,0,1,1,0,4,-0.1,0,0,0,0,1,0,0,5,0.0,111,3,13,56,51,52.3,beaglja01,2020-2021,2021
Ethan Bear,23,EDM,D,7,0,2,2,4,0,0.6,0,0,0,0,2,0,0,6,0.0,147,8,7,0,0,,bearet01,2020-2021,2021
Nathan Beaulieu,28,WPG,D,7,0,1,1,4,12,0.4,0,0,0,0,1,0,0,7,0.0,119,10,12,0,0,,beaulna01,2020-2021,2021
Anthony Beauvillier,23,NYI,LW,5,0,1,1,-2,0,0.0,0,0,0,0,0,1,0,4,0.0,73,1,4,0,1,0.0,beauvan01,2020-2021,2021
Pierre-Edouard Bellemare,35,COL,LW,7,0,0,0,1,4,-0.1,0,0,0,0,0,0,0,5,0.0,85,1,3,44,24,64.7,bellepi01,2020-2021,2021
Kieffer Bellows,22,NYI,LW,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,46,2,12,1,0,100.0,belloki01,2020-2021,2021
Emil Bemstrom,21,CBJ,C,5,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,7,0.0,59,3,4,0,0,,bemstem01,2020-2021,2021
Jamie Benn,31,DAL,LW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,12,1,0,0,3,0.0,bennja01,2020-2021,2021
Jordie Benn,33,VAN,D,2,0,1,1,3,0,0.3,0,0,0,0,1,0,0,3,0.0,33,6,3,0,0,,bennjo01,2020-2021,2021
Sam Bennett,24,CGY,C,5,0,0,0,-5,4,-0.3,0,0,0,0,0,0,0,5,0.0,67,1,7,6,7,46.2,bennesa01,2020-2021,2021
