Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Justin Abdelkader,32,DET,LW,49,0,3,3,-14,25,-0.9,0,0,0,0,3,0,0,40,0.0,565,26,103,38,31,55.1,abdelju01,2019-2020,2020
Pontus Aberg,26,TOR,LW,5,0,1,1,0,0,0.0,0,0,0,0,1,0,0,4,0.0,44,1,1,0,0,,abergpo01,2019-2020,2020
Vitaly Abramov,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,0,0,0,3,33.3,12,0,0,0,0,,abramvi01,2019-2020,2020
Noel Acciari,28,FLA,C,66,20,7,27,2,21,2.9,19,0,1,5,7,0,0,108,18.5,1054,103,121,381,414,47.9,acciano01,2019-2020,2020
Andrew Agozzino,29,PIT,LW,17,0,2,2,0,4,0.0,0,0,0,0,2,0,0,8,0.0,112,5,19,30,29,50.8,agozzan01,2019-2020,2020
Andrew Agozzino,29,ANA,LW,5,1,0,1,3,0,0.2,1,0,0,0,0,0,0,2,50.0,50,2,6,8,8,50.0,agozzan01,2019-2020,2020
Sebastian Aho,22,CAR,F,68,38,28,66,10,26,8.6,26,8,4,5,18,9,1,206,18.4,1321,20,55,409,480,46.0,ahose01,2019-2020,2020
Karl Alzner,31,MTL,D,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,4,0.0,56,4,1,0,0,,alzneka01,2019-2020,2020
Michael Amadio,23,LAK,C,68,6,10,16,-11,10,0.5,6,0,0,0,7,3,0,99,6.1,885,22,21,233,249,48.3,amadimi01,2019-2020,2020
Joey Anderson,21,NJD,RW,18,4,2,6,1,2,0.7,4,0,0,0,2,0,0,21,19.0,238,6,16,3,3,50.0,anderjo08,2019-2020,2020
Josh Anderson,25,CBJ,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,3,0,0,63,1.6,418,13,68,7,12,36.8,anderjo05,2019-2020,2020
Michael Anderson,20,LAK,D,6,1,0,1,4,0,0.7,1,0,0,1,0,0,0,9,11.1,109,10,10,0,0,,andermi02,2019-2020,2020
Jaret Anderson-Dolan,20,LAK,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,41,0,3,5,8,38.5,anderja01,2019-2020,2020
Lias Andersson,21,NYR,C,17,0,1,1,-8,4,-0.5,0,0,0,0,1,0,0,13,0.0,162,8,20,41,47,46.6,anderli01,2019-2020,2020
Rasmus Andersson,23,CGY,D,70,5,17,22,-7,57,3.8,5,0,0,0,13,4,0,124,4.0,1396,83,51,0,0,,anderra01,2019-2020,2020
Andy Andreoff,28,PHI,LW,14,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,14,0.0,119,4,20,4,4,50.0,andrean01,2019-2020,2020
Anthony Angello,23,PIT,C,8,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,5,20.0,46,5,13,0,1,0.0,angelan01,2019-2020,2020
Artem Anisimov,31,OTT,C,49,15,5,20,-15,8,1.9,10,5,0,1,4,1,0,87,17.2,679,25,6,185,185,50.0,anisiar01,2019-2020,2020
Mason Appleton,24,WPG,C,46,5,3,8,-9,20,0.1,4,0,1,0,3,0,0,55,9.1,513,12,20,5,8,38.5,applema01,2019-2020,2020
Josh Archibald,27,EDM,RW,62,12,9,21,-8,12,1.8,10,0,2,3,8,0,1,64,18.8,820,44,165,0,2,0.0,archijo01,2019-2020,2020
Joel Armia,26,MTL,RW,58,16,14,30,2,28,3.2,10,3,3,2,12,1,1,155,10.3,999,25,146,4,7,36.4,armiajo01,2019-2020,2020
Viktor Arvidsson,26,NSH,LW,57,15,13,28,-4,26,2.6,11,4,0,1,9,4,0,127,11.8,924,24,27,11,8,57.9,arvidvi01,2019-2020,2020
Rasmus Asplund,22,BUF,F,29,1,2,3,-4,6,-0.3,1,0,0,0,1,0,1,36,2.8,314,7,20,49,65,43.0,asplura01,2019-2020,2020
Zach Aston-Reese,25,PIT,C,57,6,7,13,6,28,0.8,5,0,1,0,7,0,0,98,6.1,822,30,136,7,16,30.4,astonza01,2019-2020,2020
Andreas Athanasiou,25,DET,C,46,10,14,24,-45,26,0.7,7,3,0,2,10,4,0,115,8.7,761,21,28,43,59,42.2,athanan01,2019-2020,2020
Andreas Athanasiou,25,EDM,C,9,1,1,2,-1,4,0.1,1,0,0,0,1,0,0,14,7.1,111,3,8,0,1,0.0,athanan01,2019-2020,2020
Cam Atkinson,30,CBJ,RW,44,12,14,26,2,6,2.9,9,3,0,2,9,5,0,148,8.1,785,21,18,27,30,47.4,atkinca01,2019-2020,2020
Nicolas Aube-Kubel,23,PHI,RW,36,7,8,15,1,19,1.6,5,2,0,1,7,1,0,48,14.6,406,16,82,1,2,33.3,aubekni01,2019-2020,2020
David Backes,35,BOS,C,16,1,2,3,-2,16,0.1,0,1,0,1,2,0,0,26,3.8,137,4,22,7,10,41.2,backeda01,2019-2020,2020
David Backes,35,ANA,C,6,0,3,3,1,6,0.2,0,0,0,0,3,0,0,8,0.0,70,4,16,20,34,37.0,backeda01,2019-2020,2020
Mikael Backlund,30,CGY,C,70,16,29,45,3,26,4.4,10,3,3,3,22,7,0,157,10.2,1256,11,44,368,410,47.3,backlmi01,2019-2020,2020
Nicklas Backstrom,32,WSH,C,61,12,42,54,-1,14,4.6,10,2,0,0,26,16,0,132,9.1,1160,45,30,516,532,49.2,backsni02,2019-2020,2020
Sven Baertschi,27,VAN,LW,6,0,2,2,-2,4,0.0,0,0,0,0,0,2,0,7,0.0,71,0,5,0,0,,baertsv01,2019-2020,2020
Josh Bailey,30,NYI,C,68,14,29,43,-12,10,3.5,11,2,1,2,22,7,0,94,14.9,1149,48,20,128,129,49.8,bailejo01,2019-2020,2020
Justin Bailey,24,VAN,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,11,0,4,0,0,,baileju01,2019-2020,2020
Rudolfs Balcers,22,OTT,LW,15,1,2,3,-2,0,0.0,1,0,0,1,2,0,0,23,4.3,182,7,19,0,2,0.0,balceru01,2019-2020,2020
Ivan Barbashev,24,STL,C,69,11,15,26,3,23,2.4,9,0,2,2,14,0,1,75,14.7,928,33,144,149,179,45.4,barbaiv01,2019-2020,2020
Riley Barber,25,MTL,RW,9,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,6,0.0,74,1,15,1,0,100.0,barberi01,2019-2020,2020
Mark Barberio,29,COL,D,21,0,2,2,3,16,0.6,0,0,0,0,2,0,0,29,0.0,296,19,13,0,0,,barbema01,2019-2020,2020
Cole Bardreau,26,NYI,F,10,1,1,2,-2,6,0.1,1,0,0,1,1,0,0,10,10.0,89,1,21,21,29,42.0,bardrco01,2019-2020,2020
Aleksander Barkov,24,FLA,C,66,20,42,62,2,18,5.9,13,7,0,2,28,13,1,172,11.6,1321,35,21,653,550,54.3,barkoal01,2019-2020,2020
Tyson Barrie,28,TOR,D,70,5,34,39,-7,16,4.5,4,1,0,0,23,11,0,169,3.0,1531,76,47,0,0,,barrity01,2019-2020,2020
Mathew Barzal,22,NYI,C,68,19,41,60,5,44,6.0,15,4,0,2,33,8,0,171,11.1,1363,43,22,228,320,41.6,barzama01,2019-2020,2020
Drake Batherson,21,OTT,C,23,3,7,10,-12,13,0.3,2,1,0,0,2,5,0,32,9.4,358,11,51,4,3,57.1,bathedr01,2019-2020,2020
Jay Beagle,34,VAN,RW,55,2,6,8,-9,38,-0.5,1,0,1,1,5,0,1,49,4.1,691,42,69,401,277,59.1,beaglja01,2019-2020,2020
Ethan Bear,22,EDM,D,71,5,16,21,-4,33,4.0,4,1,0,1,15,1,0,99,5.1,1560,106,59,0,0,,bearet01,2019-2020,2020
J.C. Beaudin,22,OTT,C,22,0,1,1,-4,7,-0.4,0,0,0,0,1,0,0,18,0.0,190,11,51,62,56,52.5,beaudje01,2019-2020,2020
Nicolas Beaudin,20,CHI,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,17,2,2,0,0,,beaudni01,2019-2020,2020
Nathan Beaulieu,27,WPG,D,38,1,7,8,15,29,2.6,1,0,0,1,7,0,0,38,2.6,646,47,62,0,0,,beaulna01,2019-2020,2020
Anthony Beauvillier,22,NYI,LW,68,18,21,39,-11,15,3.5,14,3,1,3,17,4,0,132,13.6,1174,36,86,9,4,69.2,beauvan01,2019-2020,2020
Pierre-Edouard Bellemare,34,COL,LW,69,9,13,22,2,17,1.5,7,0,2,0,11,0,2,85,10.6,926,46,43,419,371,53.0,bellepi01,2019-2020,2020
Kieffer Bellows,21,NYI,LW,8,2,1,3,3,2,0.5,2,0,0,1,1,0,0,11,18.2,85,4,12,0,0,,belloki01,2019-2020,2020
Emil Bemstrom,20,CBJ,C,56,10,10,20,-10,8,1.7,5,5,0,4,7,3,0,97,10.3,687,17,52,4,9,30.8,bemstem01,2019-2020,2020
Jamie Benn,30,DAL,LW,69,19,20,39,-4,53,4.2,11,8,0,4,14,6,0,163,11.7,1134,57,167,244,193,55.8,bennja01,2019-2020,2020
Jordie Benn,32,VAN,D,44,1,6,7,-7,17,0.8,1,0,0,1,6,0,0,58,1.7,717,62,45,0,0,,bennjo01,2019-2020,2020
Sam Bennett,23,CGY,C,52,8,4,12,-1,36,1.0,8,0,0,0,3,1,0,82,9.8,651,13,101,89,83,51.7,bennesa01,2019-2020,2020
Matt Benning,25,EDM,D,43,1,7,8,8,15,2.1,1,0,0,0,7,0,0,38,2.6,569,34,78,0,0,,bennima01,2019-2020,2020
Tyler Benson,21,EDM,LW,7,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,5,0.0,73,1,3,1,0,100.0,bensoty01,2019-2020,2020
Patrice Bergeron,34,BOS,C,61,31,25,56,23,28,7.9,19,11,1,5,16,9,0,203,15.3,1143,46,46,758,553,57.8,bergepa01,2019-2020,2020
Lean Bergmann,21,SJS,F,12,0,1,1,-6,4,-0.3,0,0,0,0,1,0,0,11,0.0,99,5,29,0,2,0.0,bergmle01,2019-2020,2020
Tyler Bertuzzi,24,DET,LW,71,21,27,48,-23,40,4.3,18,3,0,1,16,11,0,129,16.3,1371,30,71,4,2,66.7,bertuty01,2019-2020,2020
Alex Biega,31,DET,D,49,0,3,3,-9,24,0.9,0,0,0,0,3,0,0,55,0.0,805,46,115,0,0,,biegaal01,2019-2020,2020
Jake Bischoff,25,VEG,D,4,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,6,0.0,62,8,8,0,0,,bischja01,2019-2020,2020
Clark Bishop,23,CAR,C,5,0,1,1,-2,4,0.0,0,0,0,0,1,0,0,4,0.0,38,0,5,13,21,38.2,bishocl01,2019-2020,2020
Anthony Bitetto,29,WPG,D,51,0,8,8,3,32,1.7,0,0,0,0,7,0,1,54,0.0,773,50,145,0,0,,bitetan01,2019-2020,2020
Anders Bjork,23,BOS,LW,58,9,10,19,5,10,1.8,8,1,0,0,10,0,0,66,13.6,750,21,43,2,4,33.3,bjorkan01,2019-2020,2020
Oliver Bjorkstrand,24,CBJ,RW,49,21,15,36,8,12,4.9,18,3,0,5,12,3,0,162,13.0,879,16,43,6,13,31.6,bjorkol01,2019-2020,2020
Tobias Bjornfot,18,LAK,D,3,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,0,,39,0,0,0,0,,bjornto01,2019-2020,2020
Nick Bjugstad,27,PIT,C,13,1,1,2,3,8,0.2,1,0,0,0,1,0,0,18,5.6,159,7,19,38,58,39.6,bjugsni01,2019-2020,2020
Colin Blackwell,26,NSH,C,27,3,7,10,7,10,1.1,3,0,0,0,7,0,0,31,9.7,296,23,43,37,29,56.1,blackco01,2019-2020,2020
Sammy Blais,23,STL,LW,40,6,7,13,-2,20,1.0,6,0,0,1,7,0,0,56,10.7,503,15,155,0,0,,blaissa01,2019-2020,2020
Joseph Blandisi,25,PIT,C,21,2,3,5,-3,10,0.3,2,0,0,1,3,0,0,12,16.7,172,9,26,33,48,40.7,blandjo01,2019-2020,2020
Joachim Blichfeld,21,SJS,W,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,38,4,3,0,0,,blichjo01,2019-2020,2020
Anton Blidh,24,BOS,LW,7,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,9,0.0,81,5,20,0,1,0.0,blidhan01,2019-2020,2020
Teddy Blueger,25,PIT,C,69,9,13,22,2,25,1.4,9,0,0,2,11,0,2,102,8.8,1091,35,83,402,489,45.1,bluegte01,2019-2020,2020
Mikkel Boedker,30,OTT,RW,20,2,2,4,-1,0,0.2,1,0,1,0,2,0,0,29,6.9,194,5,12,1,3,25.0,boedkmi01,2019-2020,2020
Brock Boeser,22,VAN,RW,57,16,29,45,4,14,4.4,11,5,0,3,20,9,0,169,9.5,1059,14,28,11,19,36.7,boesebr01,2019-2020,2020
Zach Bogosian,29,BUF,D,19,1,4,5,0,10,0.9,1,0,0,0,4,0,0,18,5.6,320,21,22,0,0,,bogosza01,2019-2020,2020
Zach Bogosian,29,TBL,D,8,0,2,2,0,12,0.3,0,0,0,0,1,0,1,11,0.0,129,6,8,0,0,,bogosza01,2019-2020,2020
Nick Bonino,31,NSH,C,67,18,17,35,17,16,4.1,17,1,0,3,17,0,0,104,17.3,1107,89,17,488,440,52.6,boninni01,2019-2020,2020
Adam Boqvist,19,CHI,D,41,4,9,13,-3,6,2.0,4,0,0,1,7,2,0,50,8.0,665,43,33,0,0,,boqviad01,2019-2020,2020
Jesper Boqvist,21,NJD,C,35,4,0,4,-11,8,-0.2,3,1,0,0,0,0,0,41,9.8,383,16,37,5,11,31.3,boqvije01,2019-2020,2020
Henrik Borgström,22,FLA,C,4,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,3,0.0,50,0,1,13,14,48.1,borgshe01,2019-2020,2020
Mark Borowiecki,30,OTT,D,53,7,11,18,1,58,3.4,6,0,1,0,11,0,0,63,11.1,951,120,199,0,0,,borowma01,2019-2020,2020
Robert Bortuzzo,30,STL,D,42,2,4,6,12,21,2.2,2,0,0,1,4,0,0,36,5.6,551,43,66,0,0,,borturo01,2019-2020,2020
Gabriel Bourque,29,WPG,LW,52,2,4,6,-1,7,0.0,2,0,0,0,4,0,0,33,6.1,447,40,125,2,3,40.0,bourqga01,2019-2020,2020
Jay Bouwmeester,36,STL,D,56,1,8,9,6,20,2.4,1,0,0,0,7,0,1,53,1.9,1208,68,42,0,0,,bouwmja01,2019-2020,2020
Madison Bowey,24,DET,D,53,3,14,17,-16,34,2.3,3,0,0,0,13,1,0,70,4.3,949,58,53,0,0,,boweyma01,2019-2020,2020
Johnny Boychuk,36,NYI,D,64,2,9,11,-11,14,1.7,1,1,0,0,9,0,0,96,2.1,1106,128,135,0,0,,boychjo01,2019-2020,2020
Travis Boyd,26,WSH,C,24,3,7,10,9,2,1.1,3,0,0,0,6,1,0,26,11.5,282,9,14,50,69,42.0,boydtr01,2019-2020,2020
Brian Boyle,35,FLA,C,39,6,9,15,-5,17,1.0,5,1,0,1,9,0,0,56,10.7,483,34,65,197,179,52.4,boylebr01,2019-2020,2020
Tyler Bozak,33,STL,C,67,13,16,29,0,10,2.6,10,2,1,2,14,2,0,109,11.9,1026,33,32,363,297,55.0,bozakty01,2019-2020,2020
Erik Brannstrom,20,OTT,D,31,0,4,4,-9,16,0.1,0,0,0,0,3,1,0,38,0.0,460,36,15,0,0,,branner01,2019-2020,2020
