Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Derick Brassard,32,NYI,C,66,10,22,32,-2,16,2.7,7,3,0,1,15,7,0,110,9.1,904,24,115,197,160,55.2,brassde01,2019-2020,2020
Jesper Bratt,21,NJD,W,60,16,16,32,-6,6,3.4,15,1,0,2,11,5,0,101,15.8,839,22,29,3,10,23.1,brattje01,2019-2020,2020
Justin Braun,32,PHI,D,62,3,16,19,-2,18,2.9,3,0,0,0,15,1,0,70,4.3,1071,84,91,0,0,,braunju01,2019-2020,2020
T.J. Brodie,29,CGY,D,64,4,15,19,7,36,4.3,4,0,0,1,14,1,0,65,6.2,1309,87,20,0,0,,broditj01,2019-2020,2020
Jonas Brodin,26,MIN,D,69,2,26,28,15,24,5.2,2,0,0,0,23,1,2,103,1.9,1487,112,41,0,0,,brodijo01,2019-2020,2020
Jonny Brodzinski,26,SJS,C,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,5,0.0,22,0,3,0,1,0.0,brodzjo01,2019-2020,2020
Adam Brooks,23,TOR,C,7,0,3,3,1,0,0.2,0,0,0,0,3,0,0,2,0.0,55,1,0,5,5,50.0,brookad01,2019-2020,2020
Troy Brouwer,34,STL,RW,13,1,0,1,1,7,0.0,1,0,0,0,0,0,0,12,8.3,123,6,24,1,1,50.0,brouwtr01,2019-2020,2020
Connor Brown,26,OTT,RW,71,16,27,43,-6,24,3.4,13,3,0,1,24,1,2,173,9.2,1428,35,39,29,39,42.6,brownco02,2019-2020,2020
Dustin Brown,35,LAK,RW,66,17,18,35,-1,22,3.5,16,1,0,1,14,4,0,169,10.1,1215,15,143,7,9,43.8,browndu01,2019-2020,2020
Josh Brown,26,FLA,D,56,3,5,8,1,39,1.5,3,0,0,1,5,0,0,48,6.3,751,53,77,0,0,,brownjo01,2019-2020,2020
Logan Brown,21,OTT,C,23,1,7,8,0,4,0.5,0,1,0,1,5,2,0,23,4.3,270,11,13,55,79,41.0,brownlo01,2019-2020,2020
Patrick Brown,27,VEG,C,1,1,0,1,0,0,0.2,1,0,0,0,0,0,0,2,50.0,10,0,6,0,0,,brownpa02,2019-2020,2020
Pavel Buchnevich,24,NYR,LW,68,16,30,46,2,24,4.1,12,4,0,1,25,5,0,148,10.8,1151,22,80,4,19,17.4,buchnpa01,2019-2020,2020
Connor Bunnaman,21,PHI,F,21,1,1,2,7,2,0.2,1,0,0,0,1,0,0,18,5.6,195,2,29,36,60,37.5,bunnaco01,2019-2020,2020
Andre Burakovsky,24,COL,LW,58,20,25,45,11,22,5.4,18,2,0,6,16,9,0,103,19.4,882,34,26,5,9,35.7,burakan01,2019-2020,2020
Brent Burns,34,SJS,D,70,12,33,45,-22,34,6.7,7,5,0,1,20,12,1,225,5.3,1779,115,72,0,0,,burnsbr01,2019-2020,2020
Will Butcher,25,NJD,D,56,4,17,21,-8,6,3.1,4,0,0,1,16,1,0,62,6.5,1003,75,31,0,0,,butchwi01,2019-2020,2020
Paul Byron,30,MTL,C,29,4,6,10,5,4,0.9,3,0,1,0,6,0,0,29,13.8,415,18,42,1,5,16.7,byronpa01,2019-2020,2020
Nicholas Caamano,21,DAL,RW,12,1,1,2,2,4,0.2,1,0,0,0,1,0,0,13,7.7,120,3,17,1,1,50.0,caamani01,2019-2020,2020
Drake Caggiula,25,CHI,LW,40,9,6,15,-3,32,1.5,8,1,0,0,5,0,1,56,16.1,473,16,81,4,10,28.6,caggidr01,2019-2020,2020
Matt Calvert,30,COL,LW,50,12,13,25,13,39,3.0,9,0,3,1,12,0,1,89,13.5,705,22,58,12,14,46.2,calvema01,2019-2020,2020
Kyle Capobianco,22,ARI,D,9,1,0,1,-1,2,0.3,1,0,0,0,0,0,0,10,10.0,133,10,14,0,0,,capobky01,2019-2020,2020
Paul Carey,31,BOS,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,6,1,0,0,0,,careypa01,2019-2020,2020
Brandon Carlo,23,BOS,D,67,4,15,19,16,33,4.7,4,0,0,0,15,0,0,111,3.6,1372,76,126,0,0,,carlobr01,2019-2020,2020
John Carlson,30,WSH,D,69,15,60,75,12,26,10.7,13,2,0,6,36,24,0,189,7.9,1700,108,55,0,1,0.0,carlsjo01,2019-2020,2020
Gabriel Carlsson,23,CBJ,D,6,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,3,0.0,65,0,5,0,0,,carlsga01,2019-2020,2020
Lucas Carlsson,22,CHI,D,6,0,1,1,3,0,0.4,0,0,0,0,1,0,0,3,0.0,85,6,11,0,0,,carlslu01,2019-2020,2020
Ryan Carpenter,29,CHI,C,69,3,12,15,-6,28,-0.1,2,0,1,0,10,0,2,80,3.8,971,48,117,263,347,43.1,carpery01,2019-2020,2020
Daniel Carr,28,NSH,LW,11,1,0,1,-5,4,-0.2,1,0,0,0,0,0,0,14,7.1,114,2,10,0,1,0.0,carrda01,2019-2020,2020
Connor Carrick,25,NJD,D,29,1,5,6,-6,17,0.8,1,0,0,1,5,0,0,25,4.0,418,39,27,0,0,,carrico01,2019-2020,2020
Sam Carrick,27,ANA,C,9,1,1,2,-3,0,0.0,0,0,1,0,1,0,0,16,6.3,124,8,13,33,39,45.8,carrisa01,2019-2020,2020
Trevor Carrick,25,SJS,D,3,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,17,0,1,0,0,,carritr01,2019-2020,2020
Alexandre Carrier,23,NSH,D,3,0,0,0,2,2,0.2,0,0,0,0,0,0,0,4,0.0,32,0,3,0,0,,carrial01,2019-2020,2020
William Carrier,25,VEG,LW,71,7,12,19,0,39,1.4,7,0,0,1,12,0,0,99,7.1,701,11,213,9,5,64.3,carriwi01,2019-2020,2020
Jeff Carter,35,LAK,C,60,17,10,27,-21,36,2.2,14,3,0,7,8,2,0,182,9.3,1016,23,66,382,364,51.2,carteje01,2019-2020,2020
Colby Cave,25,EDM,C,11,1,0,1,-3,4,-0.1,1,0,0,0,0,0,0,5,20.0,106,3,17,36,41,46.8,caveco01,2019-2020,2020
Cody Ceci,26,TOR,D,56,1,7,8,7,20,1.9,1,0,0,1,7,0,0,48,2.1,1150,79,92,0,0,,cecico01,2019-2020,2020
Peter Cehlarik,24,BOS,LW,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,0,,34,2,2,1,1,50.0,cehlape01,2019-2020,2020
Erik Cernak,22,TBL,D,67,5,7,12,11,59,3.2,5,0,0,1,7,0,0,125,4.0,1270,97,172,0,0,,cernaer01,2019-2020,2020
Thomas Chabot,23,OTT,D,71,6,33,39,-18,42,4.6,6,0,0,0,22,11,0,186,3.2,1846,85,79,0,0,,chaboth01,2019-2020,2020
Michael Chaput,27,ARI,C,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0.0,20,2,3,7,6,53.8,chapumi01,2019-2020,2020
Zdeno Chara,42,BOS,D,68,5,9,14,26,60,5.1,5,0,0,2,9,0,0,86,5.8,1429,101,78,0,0,,charazd01,2019-2020,2020
Ben Chiarot,28,MTL,D,69,9,12,21,5,61,4.9,9,0,0,3,12,0,0,130,6.9,1596,128,152,0,0,,chiarbe01,2019-2020,2020
Alex Chiasson,29,EDM,RW,65,11,13,24,-3,42,2.2,5,6,0,3,6,7,0,97,11.3,853,15,56,0,4,0.0,chiasal01,2019-2020,2020
Andrei Chibisov,26,WPG,F,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,15,1,1,0,0,,chibian01,2019-2020,2020
Filip Chlapik,22,OTT,C,31,3,3,6,-7,10,0.2,3,0,0,1,3,0,0,27,11.1,272,11,71,12,19,38.7,chlapfi01,2019-2020,2020
Dennis Cholowski,21,DET,D,36,2,6,8,-26,6,0.1,1,1,0,1,2,4,0,51,3.9,692,35,15,0,0,,cholode01,2019-2020,2020
Jakob Chychrun,21,ARI,D,63,12,14,26,4,38,6.0,7,5,0,2,11,3,0,149,8.1,1413,95,75,0,0,,chychja01,2019-2020,2020
Filip Chytil,20,NYR,C,60,14,9,23,-7,10,1.8,13,1,0,2,7,2,0,114,12.3,890,31,13,198,317,38.4,chytifi01,2019-2020,2020
Anthony Cirelli,22,TBL,C,68,16,28,44,28,30,4.7,14,1,1,3,23,4,1,113,14.2,1255,47,89,434,480,47.5,cirelan01,2019-2020,2020
Casey Cizikas,28,NYI,C,48,10,4,14,12,41,1.8,7,0,3,1,2,0,2,67,14.9,686,39,133,368,320,53.5,cizikca01,2019-2020,2020
Fredrik Claesson,27,NJD,D,5,1,1,2,1,0,0.5,1,0,0,0,1,0,0,1,100.0,72,7,5,0,0,,claesfr01,2019-2020,2020
Kale Clague,21,LAK,D,4,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,2,0.0,58,4,1,0,0,,claguka01,2019-2020,2020
Kyle Clifford,29,LAK,LW,53,6,8,14,-6,45,0.9,6,0,0,0,8,0,0,89,6.7,619,12,90,6,3,66.7,cliffky01,2019-2020,2020
Kyle Clifford,29,TOR,LW,16,1,2,3,-1,23,0.1,1,0,0,0,2,0,0,21,4.8,153,3,43,0,1,0.0,cliffky01,2019-2020,2020
Connor Clifton,24,BOS,D,31,2,0,2,4,12,1.1,2,0,0,0,0,0,0,20,10.0,447,33,90,0,0,,cliftco01,2019-2020,2020
Cal Clutterbuck,32,NYI,RW,37,3,4,7,6,22,0.5,2,0,1,0,3,0,1,35,8.6,497,38,127,4,5,44.4,cluttca01,2019-2020,2020
Braydon Coburn,34,TBL,D,40,1,3,4,5,16,1.2,1,0,0,0,3,0,0,44,2.3,562,28,59,0,0,,coburbr01,2019-2020,2020
Andrew Cogliano,32,DAL,LW,68,3,11,14,2,30,0.6,3,0,0,0,11,0,0,68,4.4,848,31,86,17,20,45.9,coglian01,2019-2020,2020
Ian Cole,30,COL,D,65,4,22,26,21,36,5.1,4,0,0,1,22,0,0,92,4.3,1150,122,83,0,0,,coleia01,2019-2020,2020
Blake Coleman,28,NJD,C,57,21,10,31,-2,40,3.8,17,1,3,2,7,2,1,182,11.5,971,40,166,46,98,31.9,colembl01,2019-2020,2020
Blake Coleman,28,TBL,C,9,0,1,1,2,16,-0.1,0,0,0,0,1,0,0,18,0.0,132,6,25,1,4,20.0,colembl01,2019-2020,2020
Blake Comeau,33,DAL,RW,55,8,8,16,-6,36,1.1,7,0,1,2,7,0,1,74,10.8,822,24,107,42,54,43.8,comeabl01,2019-2020,2020
J.T. Compher,24,COL,LW,67,11,20,31,9,18,2.6,10,1,0,3,13,4,3,106,10.4,1122,60,36,341,374,47.7,comphj,2019-2020,2020
Max Comtois,21,ANA,LW,29,5,6,11,-4,24,0.9,3,2,0,0,5,1,0,32,15.6,405,8,61,3,13,18.8,comtoma01,2019-2020,2020
Cory Conacher,30,TBL,LW,4,0,1,1,-2,4,-0.1,0,0,0,0,1,0,0,5,0.0,44,1,3,0,0,,conacco01,2019-2020,2020
Kevin Connauton,29,COL,D,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,4,0.0,62,6,6,0,0,,connake01,2019-2020,2020
Brett Connolly,27,FLA,RW,69,19,14,33,-3,26,3.3,15,4,0,3,12,2,0,117,16.2,1000,17,56,6,11,35.3,connobr01,2019-2020,2020
Kyle Connor,23,WPG,LW,71,38,35,73,4,34,8.7,28,9,1,7,26,8,1,239,15.9,1497,17,18,2,11,15.4,connoky01,2019-2020,2020
Andrew Copp,25,WPG,C,63,10,16,26,-3,10,1.6,9,1,0,5,13,0,3,121,8.3,1115,27,59,310,275,53.0,coppan01,2019-2020,2020
Nick Cousins,26,MTL,C,58,9,13,22,1,33,2.0,7,2,0,0,11,2,0,105,8.6,781,28,77,14,23,37.8,cousini01,2019-2020,2020
Nick Cousins,26,VEG,C,7,1,2,3,-1,2,0.2,0,1,0,0,2,0,0,10,10.0,97,3,14,21,15,58.3,cousini01,2019-2020,2020
Logan Couture,30,SJS,C,52,16,23,39,0,18,4.2,16,0,0,3,12,9,2,126,12.7,963,45,54,195,248,44.0,coutulo01,2019-2020,2020
Sean Couturier,27,PHI,C,69,22,37,59,21,30,6.6,18,4,0,4,28,9,0,185,11.9,1368,26,60,543,367,59.7,coutuse01,2019-2020,2020
