Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,pid,Year,YR_INT
Bill Oleschuk,20,KCS,1,,0,1,0,4,52,48,.923,4.00,0,0.1,60,,,,,,0,0,0,0,olescbi01,1975-1976,1976
Bernie Parent,30,PHI,11,,6,2,2,24,259,235,.907,2.35,0,2.6,614,,,,,,0,0,0,2,parenbe01,1975-1976,1976
Michel Plasse,27,PIT,55,,24,19,10,178,1617,1439,.890,3.46,2,8.1,3090,,,,100,0.05,0,2,2,8,plassmi01,1975-1976,1976
Dave Reece,27,BOS,14,,7,5,2,43,350,307,.877,3.32,2,2.2,776,,,,112,-4.46,0,0,0,0,reeceda01,1975-1976,1976
Glenn Resch,27,NYI,44,,23,11,8,88,1215,1127,.928,2.08,7,11.6,2540,,,,66,45.78,0,1,1,0,reschgl01,1975-1976,1976
Terry Richardson,22,DET,1,,0,1,0,7,36,29,.806,7.00,0,-0.1,60,,,,,,0,0,0,2,richate01,1975-1976,1976
Curt Ridley,24,VAN,9,,6,0,2,19,227,208,.916,2.28,1,2.1,500,,,,,,0,0,0,0,ridlecu01,1975-1976,1976
Jim Rutherford,26,DET,44,,13,25,6,158,1379,1221,.885,3.60,4,6.4,2633,,,,104,-6.16,0,0,0,4,rutheji01,1975-1976,1976
Gary Simmons,31,CGS,40,,15,19,5,131,1181,1050,.889,3.34,2,6.6,2354,,,,101,-0.96,0,0,0,18,simmoga01,1975-1976,1976
Al Smith,30,BUF,14,,9,3,2,43,360,317,.881,3.07,0,2.7,839,,,,108,-3.36,0,0,0,0,smithal03,1975-1976,1976
Billy Smith,25,NYI,39,,19,10,9,98,1067,969,.908,2.62,3,8.5,2248,,,,83,19.49,0,1,1,10,smithbi01,1975-1976,1976
Gary Smith,31,VAN,51,,20,24,6,167,1416,1249,.882,3.51,2,7.3,2857,,,,107,-11.09,0,1,1,24,smithga01,1975-1976,1976
Doug Soetaert,20,NYR,8,,2,2,0,24,167,143,.856,5.29,0,0.0,272,,,,,,0,1,1,0,soetado01,1975-1976,1976
Ed Staniowski,20,STL,11,,5,3,2,33,337,304,.902,3.20,0,1.8,619,,,,89,4.11,0,0,0,0,stanied01,1975-1976,1976
Wayne Stephenson,31,PHI,66,,40,10,14,164,1774,1610,.908,2.58,1,14.7,3811,,,,84,31.33,0,0,0,11,stephwa01,1975-1976,1976
Bobby Taylor,31,PHI,4,,3,1,0,15,125,110,.880,3.75,0,0.5,240,,,,,,0,,,2,taylobo02,1975-1976,1976
Bobby Taylor,31,PIT,2,,0,1,0,7,48,41,.854,5.41,0,0.0,78,,,,,,0,,,0,taylobo02,1975-1976,1976
Wayne Thomas,28,TOR,64,,28,24,12,196,1969,1773,.900,3.20,2,11.0,3679,,,,90,20.80,0,0,0,18,thomawa01,1975-1976,1976
Rogie Vachon,30,LAK,51,,26,20,5,160,1474,1314,.891,3.15,5,9.3,3052,,,,99,2.30,0,0,0,0,vachoro01,1975-1976,1976
Gilles Villemure,35,CBH,15,,2,7,5,57,405,348,.859,4.30,0,1.2,796,,,,128,-12.41,0,0,0,0,villegi01,1975-1976,1976
Dunc Wilson,27,NYR,20,,5,9,3,76,551,475,.862,4.24,0,1.7,1076,,,,125,-15.33,0,0,0,11,wilsodu01,1975-1976,1976
Bernie Wolfe,24,WSH,40,,5,23,7,148,1300,1152,.886,4.17,0,3.5,2130,,,,103,-4.86,0,0,0,0,wolfebe01,1975-1976,1976
John Adams,28,WSH,8,,0,7,0,46,275,229,.833,6.90,0,-0.9,400,,,,,,0,0,0,2,adamsjo02,1974-1975,1975
Yves Belanger,22,STL,11,,6,3,2,29,293,264,.901,2.72,1,2.3,640,,,,,,0,1,1,0,belanyv01,1974-1975,1975
Michel Belhumeur,25,WSH,35,,0,24,3,162,1165,1003,.861,5.37,0,-0.1,1810,,,,127,-34.20,0,2,2,10,belhumi01,1974-1975,1975
Dan Bouchard,24,ATF,40,,20,15,5,111,1289,1178,.914,2.78,3,8.6,2397,,,,78,30.40,0,2,2,42,bouchda01,1974-1975,1975
Ken Broderick,32,BOS,15,,7,6,0,32,332,300,.904,2.39,1,3.3,802,,,,88,4.42,0,0,0,2,brodeke01,1974-1975,1975
Gary Bromley,25,BUF,50,,26,11,11,144,1134,990,.873,3.10,4,8.7,2785,,,,116,-19.60,0,4,4,2,bromlga01,1974-1975,1975
Ross Brooks,37,BOS,17,,10,3,3,48,415,367,.884,2.98,0,3.2,966,,,,105,-2.47,0,0,0,0,brookro01,1974-1975,1975
Bruce Bullock,25,VAN,1,,0,1,0,4,25,21,.840,4.00,0,0.1,60,,,,,,0,0,0,0,bullobr01,1974-1975,1975
Roger Crozier,32,BUF,23,,17,2,1,55,573,518,.904,2.62,3,4.8,1260,,,,87,7.86,0,2,2,8,croziro01,1974-1975,1975
John Davidson,21,STL,40,,17,15,7,144,1271,1127,.887,3.66,0,5.5,2358,,,,103,-4.57,0,2,2,8,davidjo01,1974-1975,1975
Gerry Desjardins,30,BUF,9,,6,2,1,25,264,239,.905,2.79,0,1.9,538,,,,,,0,0,0,0,desjage01,1974-1975,1975
Ken Dryden,27,MTL,56,,30,9,16,149,1590,1441,.906,2.70,4,12.2,3315,,,,85,25.42,0,3,3,2,drydeke01,1974-1975,1975
Michel Dumas,25,CBH,3,,2,0,0,7,42,35,.833,3.47,0,0.3,121,,,,,,0,0,0,0,dumasmi01,1974-1975,1975
Gary Edwards,27,LAK,27,,15,3,8,61,724,663,.916,2.35,3,6.5,1561,,,,77,18.42,0,0,0,0,edwarga01,1974-1975,1975
Tony Esposito,31,CBH,71,,34,30,7,193,2047,1854,.906,2.75,6,15.2,4209,,,,86,31.56,0,1,1,11,esposto01,1974-1975,1975
Rocky Farr,27,BUF,7,,0,1,2,14,113,99,.876,3.93,0,0.4,213,,,,,,0,0,0,0,farrro01,1974-1975,1975
Doug Favell,29,TOR,39,,12,17,6,145,1190,1045,.878,4.06,1,3.9,2145,,,,111,-14.46,0,1,1,10,faveldo01,1974-1975,1975
Ed Giacomin,35,NYR,37,,13,12,8,120,922,802,.870,3.49,1,5.3,2065,,,,119,-18.86,0,0,0,20,giacoed01,1974-1975,1975
Gilles Gilbert,25,BOS,53,,23,17,11,158,1478,1320,.893,3.14,3,9.3,3019,,,,97,4.14,0,1,1,10,gilbegi01,1974-1975,1975
Doug Grant,26,DET,7,,1,5,0,34,199,165,.829,5.37,0,0.0,380,,,,,,0,0,0,0,grantdo01,1974-1975,1975
Pierre Hamel,22,TOR,4,,1,2,0,18,124,106,.855,5.55,0,-0.1,195,,,,,,0,0,0,2,hamelpi01,1974-1975,1975
Denis Herron,22,KCS,22,,4,13,4,80,767,687,.896,3.75,0,2.8,1279,,,,95,4.14,0,,,2,herrode01,1974-1975,1975
Denis Herron,22,PIT,3,,1,1,0,11,78,67,.859,6.16,0,-0.1,107,,,,,,0,,,0,herrode01,1974-1975,1975
Gary Inness,25,PIT,57,,24,18,10,161,1696,1535,.905,3.10,2,9.7,3116,,,,87,25.05,0,2,2,2,innesga01,1974-1975,1975
Bob Johnson,26,PIT,12,,3,4,1,40,281,241,.858,5.03,0,0.2,478,,,,,,0,0,0,6,johnsbo01,1974-1975,1975
Eddie Johnston,39,STL,30,,12,13,5,93,884,791,.895,3.10,2,5.6,1797,,,,96,3.98,0,0,0,0,johnsed01,1974-1975,1975
Michel Larocque,22,MTL,25,,17,5,3,74,683,609,.892,3.00,3,4.8,1478,,,,99,0.93,0,1,1,2,larocmi01,1974-1975,1975
Ken Lockett,27,VAN,25,,6,7,1,48,421,373,.886,3.18,2,2.7,907,,,,104,-1.82,0,0,0,2,lockeke01,1974-1975,1975
Pete LoPresti,20,MNS,35,,9,20,3,137,1125,988,.878,4.19,1,3.2,1961,,,,111,-13.59,0,0,0,2,loprepe01,1974-1975,1975
Ron Low,24,WSH,48,,8,36,2,235,1622,1387,.855,5.45,1,-0.4,2587,,,,132,-57.07,0,0,0,4,lowro01,1974-1975,1975
Cesare Maniago,36,MNS,37,,11,21,4,149,1251,1102,.881,4.21,1,3.4,2126,,,,109,-11.76,0,0,0,2,maniace01,1974-1975,1975
Peter McDuffe,26,KCS,36,,7,25,4,148,1262,1114,.883,4.23,0,3.3,2098,,,,107,-9.56,0,1,1,0,mcdufpe01,1974-1975,1975
Bill McKenzie,25,DET,13,,1,9,2,58,421,363,.862,4.71,0,0.7,739,,,,126,-11.82,0,0,0,2,mckenbi01,1974-1975,1975
Gord McRae,26,TOR,20,,10,3,6,57,524,467,.891,3.22,0,3.1,1063,,,,99,0.48,0,0,0,4,mcraego01,1974-1975,1975
Gilles Meloche,24,CGS,47,,9,27,10,186,1514,1328,.877,4.03,1,5.1,2768,,,,112,-19.91,0,6,6,14,melocgi01,1974-1975,1975
Phil Myre,26,ATF,40,,14,16,10,114,1252,1138,.909,2.85,5,8.3,2399,,,,83,23.35,0,1,1,6,myreph01,1974-1975,1975
Bernie Parent,29,PHI,68,,44,14,9,137,1674,1537,.918,2.04,12,18.6,4035,,,,75,46.64,0,0,0,16,parenbe01,1974-1975,1975
Michel Plasse,26,KCS,24,,4,16,3,96,773,677,.876,4.06,0,2.5,1420,,,,113,-11.20,0,,,18,plassmi01,1974-1975,1975
Michel Plasse,26,PIT,20,,9,5,4,73,653,580,.888,4.01,0,2.0,1093,,,,102,-1.37,0,,,6,plassmi01,1974-1975,1975
Glenn Resch,26,NYI,25,,12,7,5,59,701,642,.916,2.48,3,5.7,1429,,,,77,17.90,0,0,0,0,reschgl01,1974-1975,1975
Terry Richardson,21,DET,4,,1,2,0,23,95,72,.758,6.86,0,-0.4,201,,,,,,0,0,0,2,richate01,1974-1975,1975
Curt Ridley,23,NYR,2,,1,1,0,7,42,35,.833,5.19,0,0.0,81,,,,,,0,0,0,0,ridlecu01,1974-1975,1975
Fern Rivard,29,MNS,15,,3,9,0,50,429,379,.883,4.25,0,1.1,707,,,,106,-2.94,0,0,0,4,rivarfe01,1974-1975,1975
Jim Rutherford,25,DET,59,,20,29,10,217,1770,1553,.877,3.75,2,7.7,3475,,,,112,-22.83,0,4,4,4,rutheji01,1974-1975,1975
Gary Simmons,30,CGS,34,,10,21,3,124,1184,1060,.895,3.67,2,4.7,2026,,,,95,5.89,0,1,1,26,simmoga01,1974-1975,1975
Billy Smith,24,NYI,58,,21,18,17,156,1637,1481,.905,2.78,3,12.0,3364,,,,87,23.58,0,0,0,21,smithbi01,1974-1975,1975
Gary Smith,30,VAN,72,,32,24,9,197,1871,1674,.895,3.09,6,12.0,3820,,,,96,8.25,0,1,1,33,smithga01,1974-1975,1975
Wayne Stephenson,30,PHI,12,,7,2,1,29,274,245,.894,2.73,1,2.3,638,,,,,,0,0,0,0,stephwa01,1974-1975,1975
Bobby Taylor,30,PHI,3,,0,2,1,13,70,57,.814,6.52,0,-0.2,120,,,,,,0,0,0,2,taylobo02,1974-1975,1975
Rogie Vachon,29,LAK,54,,27,14,13,121,1656,1535,.927,2.24,6,14.0,3234,,,,67,60.66,0,1,1,2,vachoro01,1974-1975,1975
Mike Veisor,22,CBH,9,,1,5,1,36,222,186,.838,4.71,0,0.4,459,,,,,,0,0,0,0,veisomi01,1974-1975,1975
