Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Noel Acciari,29,FLA,C,2,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,1,0.0,30,4,5,10,20,33.3,acciano01,2020-2021,2021
Sebastian Aho,23,CAR,F,3,1,2,3,2,0,0.4,1,0,0,1,1,1,0,7,14.3,58,1,1,23,25,47.9,ahose01,2020-2021,2021
Mark Alt,29,LAK,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,12,1,0,0,0,,altma01,2020-2021,2021
Michael Amadio,24,LAK,C,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0.0,47,2,0,12,13,48.0,amadimi01,2020-2021,2021
Josh Anderson,26,MTL,RW,6,3,1,4,2,8,0.6,3,0,0,1,1,0,0,21,14.3,89,4,13,0,1,0.0,anderjo05,2020-2021,2021
Michael Anderson,21,LAK,D,5,0,1,1,1,4,0.3,0,0,0,0,1,0,0,1,0.0,105,7,4,0,0,,andermi02,2020-2021,2021
Lias Andersson,22,LAK,C,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,31,1,1,1,7,12.5,anderli01,2020-2021,2021
Rasmus Andersson,24,CGY,D,3,1,2,3,1,0,0.6,1,0,0,0,1,1,0,7,14.3,65,6,1,0,0,,anderra01,2020-2021,2021
Artem Anisimov,32,OTT,C,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,4,0.0,36,2,2,5,6,45.5,anisiar01,2020-2021,2021
Mason Appleton,25,WPG,C,5,0,1,1,0,0,0.0,0,0,0,0,1,0,0,9,0.0,60,1,7,1,3,25.0,applema01,2020-2021,2021
Josh Archibald,28,EDM,RW,6,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,6,16.7,77,7,28,0,1,0.0,archijo01,2020-2021,2021
Joel Armia,27,MTL,RW,5,2,3,5,6,2,0.8,1,0,1,0,2,0,1,7,28.6,63,1,7,0,4,0.0,armiajo01,2020-2021,2021
Viktor Arvidsson,27,NSH,LW,4,1,2,3,0,0,0.3,0,1,0,0,2,0,0,13,7.7,72,3,0,1,4,20.0,arvidvi01,2020-2021,2021
Rasmus Asplund,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,7,0,0,0,0,,asplura01,2020-2021,2021
Andreas Athanasiou,26,LAK,C,5,3,1,4,1,0,0.6,3,0,0,0,0,1,0,5,60.0,68,1,1,2,0,100.0,athanan01,2020-2021,2021
Cam Atkinson,31,CBJ,RW,6,0,2,2,-5,0,-0.1,0,0,0,0,1,1,0,11,0.0,98,4,0,0,2,0.0,atkinca01,2020-2021,2021
Nicolas Aube-Kubel,24,PHI,RW,6,1,1,2,-1,10,0.1,1,0,0,0,1,0,0,4,25.0,70,2,17,0,0,,aubekni01,2020-2021,2021
Mikael Backlund,31,CGY,C,3,1,1,2,-1,2,0.2,1,0,0,0,0,1,0,6,16.7,49,2,5,17,13,56.7,backlmi01,2020-2021,2021
Nicklas Backstrom,33,WSH,C,5,3,2,5,0,0,0.6,2,1,0,0,2,0,0,11,27.3,99,3,1,26,45,36.6,backsni02,2020-2021,2021
Josh Bailey,31,NYI,C,4,0,1,1,1,2,0.1,0,0,0,0,1,0,0,6,0.0,70,1,0,2,2,50.0,bailejo01,2020-2021,2021
Alexander Barabanov,26,TOR,F,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,18,4,2,0,0,,barabal01,2020-2021,2021
Ivan Barbashev,25,STL,C,5,0,2,2,1,2,0.1,0,0,0,0,2,0,0,4,0.0,59,0,5,6,9,40.0,barbaiv01,2020-2021,2021
Aleksander Barkov,25,FLA,C,2,0,3,3,3,2,0.3,0,0,0,0,2,1,0,8,0.0,41,1,1,29,17,63.0,barkoal01,2020-2021,2021
Tyson Barrie,29,EDM,D,6,0,2,2,-4,0,0.0,0,0,0,0,1,1,0,12,0.0,131,11,3,0,0,,barrity01,2020-2021,2021
Mathew Barzal,23,NYI,C,4,2,2,4,1,8,0.6,2,0,0,0,1,1,0,10,20.0,73,2,0,10,8,55.6,barzama01,2020-2021,2021
Nathan Bastian,23,NJD,RW,4,1,0,1,1,2,0.1,1,0,0,0,0,0,0,5,20.0,49,0,11,2,3,40.0,bastina01,2020-2021,2021
Drake Batherson,22,OTT,C,5,0,3,3,-3,0,0.0,0,0,0,0,1,2,0,18,0.0,86,2,13,0,1,0.0,bathedr01,2020-2021,2021
Jay Beagle,35,VAN,RW,7,0,0,0,-1,4,-0.2,0,0,0,0,0,0,0,5,0.0,95,3,10,45,45,50.0,beaglja01,2020-2021,2021
Ethan Bear,23,EDM,D,5,0,2,2,4,0,0.6,0,0,0,0,2,0,0,5,0.0,101,5,6,0,0,,bearet01,2020-2021,2021
Nathan Beaulieu,28,WPG,D,5,0,1,1,2,12,0.3,0,0,0,0,1,0,0,6,0.0,85,8,9,0,0,,beaulna01,2020-2021,2021
Anthony Beauvillier,23,NYI,LW,4,0,1,1,-2,0,0.0,0,0,0,0,0,1,0,4,0.0,66,1,4,0,1,0.0,beauvan01,2020-2021,2021
Pierre-Edouard Bellemare,35,COL,LW,5,0,0,0,0,4,-0.1,0,0,0,0,0,0,0,2,0.0,64,1,2,31,16,66.0,bellepi01,2020-2021,2021
Kieffer Bellows,22,NYI,LW,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,35,1,10,1,0,100.0,belloki01,2020-2021,2021
Emil Bemstrom,21,CBJ,C,5,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,7,0.0,59,3,4,0,0,,bemstem01,2020-2021,2021
Jamie Benn,31,DAL,LW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,12,1,0,0,3,0.0,bennja01,2020-2021,2021
Jordie Benn,33,VAN,D,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,16,3,1,0,0,,bennjo01,2020-2021,2021
Sam Bennett,24,CGY,C,3,0,0,0,-4,4,-0.2,0,0,0,0,0,0,0,3,0.0,39,1,5,4,7,36.4,bennesa01,2020-2021,2021
