Year,Name,Category,From,To,GP,G,A,PTS,+/-,PIM,W,L,T/O,SV%,GAA,OPS,DPS,GPS,PS,pid
2010,Cammi Granato,Player,,,,,,,,,,,,,,,,,,granaca01
2010,Angela James,Player,,,,,,,,,,,,,,,,,,jamesan01
2010,Doc Seaman,Builder,,,,,,,,,,,,,,,,,,
2009,Brett Hull,Player,1987,2006,1269,741,650,1391,23,458,,,,,,134.3,20.3,0.0,154.6,hullbr01
2009,Lou Lamoriello,Builder,,,,,,,,,,,,,,,,,,
2009,Brian Leetch,Player,1988,2006,1205,247,781,1028,25,571,,,,,,86.2,60.4,0.0,146.6,leetcbr01
2009,Luc Robitaille,Player,1987,2006,1431,668,726,1394,71,1177,,,,,,118.5,20.1,0.0,138.6,robitlu01
2009,Steve Yzerman,Player,1984,2006,1514,692,1063,1755,184,924,,,,,,139.4,27.2,0.0,166.6,yzermst01
2008,Glenn Anderson,Player,1981,1996,1129,498,601,1099,201,1120,,,,,,72.6,15.5,0.0,88.1,andergl01
2008,Ed Chynoweth,Builder,,,,,,,,,,,,,,,,,,
2008,Igor Larionov,Player,1990,2004,921,169,475,644,104,474,,,,,,38.2,16.7,0.0,54.9,larioig01
2008,Ray Scapinello,Referee/Linesman,,,,,,,,,,,,,,,,,,
2007,Ron Francis,Player,1982,2004,1731,549,1249,1798,-18,977,,,,,,121.0,28.3,0.0,149.3,francro01
2007,Jim Gregory,Builder,,,,,,,,,,,,,,,,,,
2007,Al MacInnis,Player,1982,2004,1416,340,934,1274,371,1511,,,,,,104.3,90.7,0.0,195.0,macinal01
2007,Mark Messier,Player,1980,2004,1756,694,1193,1887,211,1912,,,,,,135.6,24.8,0.0,160.4,messima01
2007,Scott Stevens,Player,1983,2004,1635,196,712,908,395,2785,,,,,,54.1,115.6,0.0,169.7,stevesc01
2006,Herb Brooks,Builder,,,,,,,,,,,,,,,,,,
2006,Dick Duff,Player,1955,1972,1030,283,289,572,-46,743,,,,,,35.7,14.0,0.0,49.7,duffdi01
2006,Harley Hotchkiss,Builder,,,,,,,,,,,,,,,,,,
2006,Patrick Roy,Player,1985,2003,1029,0,45,45,0,262,551,315,131,.910,2.54,0.0,0.0,198.3,198.3,roypa01
2005,Murray Costello,Builder,1954,1957,163,13,19,32,,54,,,,,,-2.4,1.9,0.0,-0.5,
2005,Valeri Kharlamov,Player,,,,,,,,,,,,,,,,,,kharlva01
2005,Cam Neely,Player,1984,1996,726,395,299,694,83,1241,,,,,,56.4,12.8,0.0,69.2,neelyca01
2004,Raymond Bourque,Player,1980,2001,1612,410,1169,1579,527,1141,,,,,,123.8,118.9,0.0,242.7,bourqra01
2004,Paul Coffey,Player,1981,2001,1409,396,1135,1531,298,1802,,,,,,117.0,68.8,0.0,185.7,coffepa01
2004,Cliff Fletcher,Builder,,,,,,,,,,,,,,,,,,
2004,Larry Murphy,Player,1981,2001,1615,288,929,1217,197,1084,,,,,,85.5,91.3,0.0,176.8,murphla01
2003,Grant Fuhr,Player,1982,2000,868,0,47,47,0,120,403,295,114,.887,3.38,0.0,0.0,128.6,128.6,fuhrgr01
2003,Mike Illitch,Builder,,,,,,,,,,,,,,,,,,
2003,Brian Kilrea,Builder,1958,1968,26,3,5,8,-4,12,,,,,,-0.1,0.2,0.0,0.1,
2003,Pat LaFontaine,Player,1984,1998,865,468,545,1013,-6,552,,,,,,82.1,10.7,0.0,92.8,lafonpa01
2002,Bernie Federko,Player,1977,1990,1000,369,761,1130,-131,487,,,,,,69.1,10.7,0.0,79.8,federbe01
2002,Clark Gillies,Player,1975,1988,958,319,378,697,245,1025,,,,,,37.8,17.3,0.0,55.0,gillicl01
2002,Rod Langway,Player,1979,1993,994,51,278,329,276,851,,,,,,7.2,70.9,0.0,78.1,langwro01
2002,Roger Neilson,Builder,,,,,,,,,,,,,,,,,,
2001,Viacheslav Fetisov,Player,1990,1998,546,36,192,228,114,656,,,,,,10.6,34.6,0.0,45.3,fetisvi01
2001,Mike Gartner,Player,1980,1998,1432,708,627,1335,68,1159,,,,,,100.1,21.8,0.0,121.8,gartnmi01
2001,Dale Hawerchuk,Player,1982,1997,1188,518,891,1409,-98,740,,,,,,98.6,13.3,0.0,112.0,hawerda01
2001,Jari Kurri,Player,1981,1998,1251,601,797,1398,304,545,,,,,,98.7,18.7,0.0,117.4,kurrija01
2001,Craig Patrick,Builder,1972,1979,401,72,91,163,-133,61,,,,,,2.5,3.1,0.0,5.6,
2000,Walter Bush,Builder,,,,,,,,,,,,,,,,,,
2000,Joe Mullen,Player,1982,1997,1062,502,561,1063,167,241,,,,,,75.1,16.0,0.0,91.2,mullejo01
2000,Denis Savard,Player,1981,1997,1196,473,865,1338,103,1336,,,,,,87.4,17.8,0.0,105.2,savarde01
1999,Wayne Gretzky,Player,1980,1999,1487,894,1963,2857,520,577,,,,,,223.9,27.1,0.0,251.0,gretzwa01
1999,Scotty Morrison,Builder,,,,,,,,,,,,,,,,,,
1999,Andy Van Hellemond,Referee/Linesman,,,,,,,,,,,,,,,,,,
1998,Roy Conacher,Player,1939,1952,490,226,201,427,,88,,,,,,44.4,6.4,0.0,50.8,conacro01
1998,Michel Goulet,Player,1980,1994,1089,548,605,1153,99,825,,,,,,79.3,17.5,0.0,96.9,goulemi01
1998,Athol Murray,Builder,,,,,,,,,,,,,,,,,,
1998,Peter Stastny,Player,1981,1995,977,450,789,1239,-15,824,,,,,,82.1,12.0,0.0,94.1,stastpe01
1997,Mario Lemieux,Player,1985,2006,915,690,1033,1723,114,834,,,,,,152.4,15.4,0.0,167.9,lemiema01
1997,Glen Sather,Builder,1967,1976,658,80,113,193,15,724,,,,,,-5.1,8.5,0.0,3.4,
1997,Bryan Trottier,Player,1976,1994,1279,524,901,1425,449,912,,,,,,94.1,26.1,0.0,120.2,trottbr01
1996,Al Arbour,Builder,1954,1971,626,12,58,70,62,611,,,,,,-4.1,43.4,0.0,39.3,
1996,Bobby Bauer,Player,1937,1952,327,123,136,259,,38,,,,,,25.0,7.1,0.0,32.1,bauerbo01
1996,Borje Salming,Player,1974,1990,1148,150,637,787,170,1344,,,,,,48.9,63.9,0.0,112.8,salmibo01
1995,Bun Cook,Player,1927,1937,477,158,146,304,,458,,,,,,42.1,9.5,0.0,51.6,cookbu01
1995,Larry Robinson,Player,1973,1992,1384,208,750,958,722,793,,,,,,60.5,109.0,0.0,169.5,robinla01
1995,Gunther Sabetzki,Builder,,,,,,,,,,,,,,,,,,
1995,Bill Torrey,Builder,,,,,,,,,,,,,,,,,,
1994,Lionel Conacher,Player,1926,1937,498,78,108,186,,883,,,,,,29.2,36.3,0.0,65.5,conacli01
1994,Brian O'Neill,Builder,,,,,,,,,,,,,,,,,,
1994,Harry Watson,Player,1942,1957,809,236,207,443,,150,,,,,,31.8,13.4,0.0,45.3,watsonha02
1993,John D'Amico,Referee/Linesman,,,,,,,,,,,,,,,,,,
1993,Frank Griffiths,Builder,,,,,,,,,,,,,,,,,,
1993,Seymour Knox,Builder,,,,,,,,,,,,,,,,,,
1993,Guy Lapointe,Player,1969,1984,884,171,451,622,329,893,,,,,,47.4,61.0,0.0,108.3,lapoigu01
1993,Edgar Laprade,Player,1946,1955,500,108,172,280,,42,,,,,,16.8,6.2,0.0,23.0,lapraed01
1993,Fred Page,Builder,,,,,,,,,,,,,,,,,,
1993,Steve Shutt,Player,1973,1985,930,424,393,817,394,410,,,,,,58.9,20.6,0.0,79.6,shuttst01
1993,Billy Smith,Player,1972,1989,679,1,12,13,0,475,305,233,105,.895,3.18,0.0,0.0,124.1,124.1,smithbi01
1992,Keith Allen,Builder,1954,1955,28,0,4,4,,6,,,,,,-0.1,2.3,0.0,2.2,
1992,Marcel Dionne,Player,1972,1989,1348,731,1040,1771,27,600,,,,,,135.9,19.6,0.0,155.5,dionnma01
1992,Woody Dumart,Player,1936,1954,774,211,219,430,,99,,,,,,32.4,15.7,0.0,48.1,dumarwo01
1992,Bob Gainey,Player,1974,1989,1160,239,262,501,201,585,,,,,,8.8,18.1,0.0,26.9,gainebo01
1992,Bob Johnson,Builder,,,,,,,,,,,,,,,,,,
1992,Frank Mathers,Builder,1949,1952,23,1,3,4,,4,,,,,,0.1,1.5,0.0,1.6,
1992,Lanny McDonald,Player,1974,1989,1111,500,506,1006,39,899,,,,,,69.5,14.7,0.0,84.2,mcdonla01
1991,Neil Armstrong,Referee/Linesman,,,,,,,,,,,,,,,,,,
1991,Mike Bossy,Player,1978,1987,752,573,553,1126,380,210,,,,,,93.1,17.8,0.0,110.9,bossymi01
1991,Scotty Bowman,Builder,,,,,,,,,,,,,,,,,,
1991,Denis Potvin,Player,1974,1988,1060,310,742,1052,456,1356,,,,,,81.4,79.3,0.0,160.7,potvide01
1991,Bob Pulford,Player,1957,1972,1079,281,362,643,-21,793,,,,,,38.8,14.2,0.0,53.0,pulfobo01
1991,Clint Smith,Player,1937,1947,483,161,237,398,,24,,,,,,26.5,8.0,0.0,34.5,smithcl01
1990,Bill Barber,Player,1973,1984,903,420,463,883,312,623,,,,,,64.1,17.3,0.0,81.3,barbebi01
1990,Fern Flaman,Player,1945,1961,911,34,174,208,-16,1372,,,,,,7.6,54.3,0.0,61.9,flamafe01
1990,Gilbert Perreault,Player,1971,1987,1191,512,814,1326,41,500,,,,,,96.0,17.3,0.0,113.3,perregi01
1990,Bud Poile,Builder,1943,1950,311,107,122,229,,91,,,,,,17.4,4.8,0.0,22.2,
1989,David Bauer,Builder,,,,,,,,,,,,,,,,,,
1989,Herbie Lewis,Player,1929,1939,484,147,161,308,,248,,,,,,35.4,9.7,0.0,45.2,lewishe01
1989,Darryl Sittler,Player,1971,1985,1096,484,637,1121,57,948,,,,,,81.0,14.9,0.0,95.9,sittlda01
1989,Vladislav Tretiak,Player,,,,,,,,,,,,,,,,,,tretivl01
1988,Tony Esposito,Player,1969,1984,886,0,25,25,0,31,423,306,152,.906,2.93,0.0,0.0,178.7,178.7,esposto01
1988,George Hayes,Referee/Linesman,,,,,,,,,,,,,,,,,,
1988,Guy Lafleur,Player,1972,1991,1126,560,793,1353,446,399,,,,,,106.0,24.6,0.0,130.5,laflegu01
