pid,Player,info
abneyca01,Cameron Abney,"['Position: RW\n', ' Born:  May 23,\xa01991   ', 'Draft: Edmonton, 3rd round (82nd\xa0overall), 2009\xa0NHL\xa0Entry ']"
abolsro01,Rodrigo Abols,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-4,\xa0188lb\xa0(193cm,\xa085kg) ', ' Born:  January 5,\xa01996   in\xa0Riga,\xa0Latvia  lv ', 'Draft: Vancouver, 7th round (184th\xa0overall), 2016\xa0NHL\xa0Entry ', 'Amateur Teams: Portland\xa0Winter\xa0Hawks ', 'Pronunciation: \\rahd-REE-goh A-bohlz\\']"
abrahch01,Christer Abrahamsson,"['Position: G\xa0•\xa0    Catches: Left\n', '6-0,\xa0180lb\xa0(183cm,\xa081kg) ', ' Born:  April 8,\xa01947   in\xa0Umea,\xa0Sweden  se ']"
abrahth01,Thommy Abrahamsson,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-2,\xa0185lb\xa0(188cm,\xa083kg) ', ' Born:  April 8,\xa01947   in\xa0Umea,\xa0Sweden  se ']"
abrammi01,Mikhail Abramov,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-10,\xa0161lb\xa0(178cm,\xa073kg) ', ' Born:  March 26,\xa02001   in\xa0Moscow,\xa0Russian\xa0Federation  ru ', 'Draft: Toronto, 4th round (115th\xa0overall), 2019\xa0NHL\xa0Entry ', 'Amateur Teams: Victoriaville\xa0Tigres ']"
abramvi01,Vitaly Abramov,"['Position: RW\xa0•\xa0    Shoots: Left\n', '5-9,\xa0171lb\xa0(175cm,\xa077kg) ', 'Team: Ottawa Senators', ' Born:  May 8,\xa01998   in\xa0Chelyabinsk,\xa0Russian\xa0Federation  ru ', 'Draft: Columbus, 3rd round (65th\xa0overall), 2016\xa0NHL\xa0Entry ', 'Amateur Teams: Gatineau\xa0Olympiques ', 'Pronunciation: \\vih-TAL-ee ah-BRAHM-awf\\']"
abruzni01,Nicholas Abruzzese,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-9,\xa0160lb\xa0(175cm,\xa072kg) ', ' Born:  June 4,\xa01999   in\xa0Slate\xa0Hill,\xa0New York  us ', 'Draft: Toronto, 4th round (124th\xa0overall), 2019\xa0NHL\xa0Entry ']"
acciano01,Noel Acciari,"['Position: C\xa0•\xa0    Shoots: Right\n', '5-10,\xa0203lb\xa0(178cm,\xa092kg) ', 'Team: Florida Panthers', ' Born:  December 1,\xa01991   in\xa0Johnston,\xa0Rhode Island  us ', 'Amateur Teams: Providence ', 'Current salary: $1,500,000', 'Current cap hit: $1,666,667', 'Pronunciation: \\NOHL A-char-ee\\']"
achtyge01,Gene Achtymichuk,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-11,\xa0170lb\xa0(180cm,\xa077kg) ', ' Born:  September 7,\xa01932   in\xa0Lamont,\xa0Alberta  ca ']"
acombdo01,Doug Acomb,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-11,\xa0165lb\xa0(180cm,\xa074kg) ', ' Born:  May 15,\xa01949   in\xa0Toronto,\xa0Ontario  ca ', 'Amateur Teams: Toronto\xa0Marlboros ']"
