Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Boston Bruins,Dit Clapper,38.0,RW/D,"Newmarket, ON",CA,1946,clappdi01
Chicago Black Hawks,John Mariucci,29.0,D,"Eveleth, MN",US,1946,mariujo01
Detroit Red Wings,Sid Abel,27.0,C/LW,"Melville, SK",CA,1946,abelsi01
Detroit Red Wings,Flash Hollett,34.0,D,"North Sydney, NS",CA,1946,hollefl01
Montreal Canadiens,Toe Blake,33.0,LW,"Victoria Mines, ON",CA,1946,blaketo01
New York Rangers,Neil Colville,31.0,C/D,"Edmonton, AB",CA,1946,colvine01
Toronto Maple Leafs,Syl Apps,31.0,C,"Paris, ON",CA,1946,appssy01
Boston Bruins,Dit Clapper,37.0,RW/D,"Newmarket, ON",CA,1945,clappdi01
Chicago Black Hawks,Clint Smith,31.0,C,"Assiniboia, SK",CA,1945,smithcl01
Detroit Red Wings,Flash Hollett,33.0,D,"North Sydney, NS",CA,1945,hollefl01
Montreal Canadiens,Toe Blake,32.0,LW,"Victoria Mines, ON",CA,1945,blaketo01
New York Rangers,Ott Heller,34.0,D,"Berlin, ON",CA,1945,helleot01
Toronto Maple Leafs,Bob Davidson,32.0,LW,"Toronto, ON",CA,1945,davidbo01
Boston Bruins,Dit Clapper,36.0,RW/D,"Newmarket, ON",CA,1944,clappdi01
Chicago Black Hawks,Doug Bentley,27.0,LW,"Delisle, SK",CA,1944,bentldo01
Detroit Red Wings,Mud Bruneteau,29.0,RW,"St. Boniface, MB",CA,1944,brunemu01
Detroit Red Wings,Flash Hollett,32.0,D,"North Sydney, NS",CA,1944,hollefl01
Montreal Canadiens,Toe Blake,31.0,LW,"Victoria Mines, ON",CA,1944,blaketo01
New York Rangers,Ott Heller,33.0,D,"Berlin, ON",CA,1944,helleot01
Toronto Maple Leafs,Bob Davidson,31.0,LW,"Toronto, ON",CA,1944,davidbo01
Boston Bruins,Dit Clapper,35.0,RW/D,"Newmarket, ON",CA,1943,clappdi01
Chicago Black Hawks,Doug Bentley,26.0,LW,"Delisle, SK",CA,1943,bentldo01
Detroit Red Wings,Sid Abel,24.0,C/LW,"Melville, SK",CA,1943,abelsi01
Montreal Canadiens,Toe Blake,30.0,LW,"Victoria Mines, ON",CA,1943,blaketo01
New York Rangers,Ott Heller,32.0,D,"Berlin, ON",CA,1943,helleot01
Toronto Maple Leafs,Syl Apps,28.0,C,"Paris, ON",CA,1943,appssy01
Boston Bruins,Dit Clapper,34.0,RW/D,"Newmarket, ON",CA,1942,clappdi01
Chicago Black Hawks,Earl Seibert,30.0,D,"Berlin, ON",CA,1942,seibeea01
Detroit Red Wings,Ebbie Goodfellow,34.0,C/D,"Ottawa, ON",CA,1942,goodfeb01
Detroit Red Wings,Syd Howe,30.0,C/LW,"Ottawa, ON",CA,1942,howesy01
Montreal Canadiens,Toe Blake,29.0,LW,"Victoria Mines, ON",CA,1942,blaketo01
New York Rangers,Art Coulter,32.0,D,"Winnipeg, MB",CA,1942,coultar01
Toronto Maple Leafs,Syl Apps,27.0,C,"Paris, ON",CA,1942,appssy01
Boston Bruins,Dit Clapper,33.0,RW/D,"Newmarket, ON",CA,1941,clappdi01
Chicago Black Hawks,Earl Seibert,29.0,D,"Berlin, ON",CA,1941,seibeea01
Detroit Red Wings,Ebbie Goodfellow,33.0,C/D,"Ottawa, ON",CA,1941,goodfeb01
Montreal Canadiens,Toe Blake,28.0,LW,"Victoria Mines, ON",CA,1941,blaketo01
New York Rangers,Art Coulter,31.0,D,"Winnipeg, MB",CA,1941,coultar01
Toronto Maple Leafs,Syl Apps,26.0,C,"Paris, ON",CA,1941,appssy01
Boston Bruins,Dit Clapper,32.0,RW/D,"Newmarket, ON",CA,1940,clappdi01
Chicago Black Hawks,Johnny Gottselig,34.0,LW,Odessa,RU,1940,gottsjo01
Detroit Red Wings,Ebbie Goodfellow,32.0,C/D,"Ottawa, ON",CA,1940,goodfeb01
Montreal Canadiens,Walt Buswell,32.0,D,"Montreal, QC",CA,1940,buswewa01
New York Rangers,Art Coulter,30.0,D,"Winnipeg, MB",CA,1940,coultar01
Toronto Maple Leafs,Red Horner,30.0,D,"Lynden, ON",CA,1940,hornere01
Boston Bruins,Cooney Weiland,34.0,C,"Seaforth (Edmondville), ON",CA,1939,weilaco01
Chicago Black Hawks,Johnny Gottselig,33.0,LW,Odessa,RU,1939,gottsjo01
Detroit Red Wings,Ebbie Goodfellow,31.0,C/D,"Ottawa, ON",CA,1939,goodfeb01
Montreal Canadiens,Babe Siebert,35.0,LW/D,"Plattsville, ON",CA,1939,siebeba01
New York Rangers,Art Coulter,29.0,D,"Winnipeg, MB",CA,1939,coultar01
Toronto Maple Leafs,Red Horner,29.0,D,"Lynden, ON",CA,1939,hornere01
Boston Bruins,Dit Clapper,30.0,RW/D,"Newmarket, ON",CA,1938,clappdi01
Chicago Black Hawks,Johnny Gottselig,32.0,LW,Odessa,RU,1938,gottsjo01
Detroit Red Wings,Doug Young,29.0,D,"Medicine Hat, AB",CA,1938,youngdo01
Montreal Canadiens,Babe Siebert,34.0,LW/D,"Plattsville, ON",CA,1938,siebeba01
New York Rangers,Art Coulter,28.0,D,"Winnipeg, MB",CA,1938,coultar01
Toronto Maple Leafs,Charlie Conacher,28.0,RW,"Toronto, ON",CA,1938,conacch01
Boston Bruins,Dit Clapper,29.0,RW/D,"Newmarket, ON",CA,1937,clappdi01
Chicago Black Hawks,Johnny Gottselig,31.0,LW,Odessa,RU,1937,gottsjo01
Detroit Red Wings,Doug Young,28.0,D,"Medicine Hat, AB",CA,1937,youngdo01
Montreal Canadiens,Babe Siebert,33.0,LW/D,"Plattsville, ON",CA,1937,siebeba01
New York Rangers,Bill Cook,40.0,RW,"Brantford, ON",CA,1937,cookbi01
Toronto Maple Leafs,Hap Day,35.0,D,"Owen Sound, ON",CA,1937,dayha01
Boston Bruins,Dit Clapper,28.0,RW/D,"Newmarket, ON",CA,1936,clappdi01
Chicago Black Hawks,Johnny Gottselig,30.0,LW,Odessa,RU,1936,gottsjo01
Detroit Red Wings,Doug Young,27.0,D,"Medicine Hat, AB",CA,1936,youngdo01
Montreal Canadiens,Sylvio Mantha,33.0,D,"Montreal, QC",CA,1936,manthsy01
New York Rangers,Bill Cook,39.0,RW,"Brantford, ON",CA,1936,cookbi01
Toronto Maple Leafs,Hap Day,34.0,D,"Owen Sound, ON",CA,1936,dayha01
Boston Bruins,Dit Clapper,27.0,RW/D,"Newmarket, ON",CA,1935,clappdi01
Chicago Black Hawks,No Captain,,,,,1935,
Detroit Red Wings,Ebbie Goodfellow,27.0,C/D,"Ottawa, ON",CA,1935,goodfeb01
Montreal Canadiens,Sylvio Mantha,32.0,D,"Montreal, QC",CA,1935,manthsy01
New York Rangers,Bill Cook,38.0,RW,"Brantford, ON",CA,1935,cookbi01
Toronto Maple Leafs,Hap Day,33.0,D,"Owen Sound, ON",CA,1935,dayha01
Boston Bruins,Dit Clapper,26.0,RW/D,"Newmarket, ON",CA,1934,clappdi01
Chicago Black Hawks,Charlie Gardiner,29.0,G,Edinburgh,GB,1934,gardich01
Detroit Red Wings,Herbie Lewis,27.0,LW,"Calgary, AB",CA,1934,lewishe01
Montreal Canadiens,Sylvio Mantha,31.0,D,"Montreal, QC",CA,1934,manthsy01
New York Rangers,Bill Cook,37.0,RW,"Brantford, ON",CA,1934,cookbi01
Toronto Maple Leafs,Hap Day,32.0,D,"Owen Sound, ON",CA,1934,dayha01
Boston Bruins,Dit Clapper,25.0,RW/D,"Newmarket, ON",CA,1933,clappdi01
Chicago Black Hawks,Helge Bostrom,39.0,D,"Gimli, MB",CA,1933,bostrhe01
Detroit Red Wings,Larry Aurie,27.0,RW,"Sudbury, ON",CA,1933,auriela01
Montreal Canadiens,George Hainsworth,37.0,G,"Toronto, ON",CA,1933,hainsge01
New York Rangers,Bill Cook,36.0,RW,"Brantford, ON",CA,1933,cookbi01
Toronto Maple Leafs,Hap Day,31.0,D,"Owen Sound, ON",CA,1933,dayha01
Boston Bruins,George Owen,30.0,D,"Hamilton, ON",CA,1932,owenge01
Chicago Black Hawks,Cy Wentworth,27.0,D,"Grimsby, ON",CA,1932,wentwcy01
Detroit Falcons,Carson Cooper,32.0,RW,"Cornwall, ON",CA,1932,coopeca01
Montreal Canadiens,Sylvio Mantha,29.0,D,"Montreal, QC",CA,1932,manthsy01
New York Rangers,Bill Cook,35.0,RW,"Brantford, ON",CA,1932,cookbi01
Toronto Maple Leafs,Hap Day,30.0,D,"Owen Sound, ON",CA,1932,dayha01
Boston Bruins,Lionel Hitchman,29.0,D,"Toronto, ON",CA,1931,hitchli01
Chicago Black Hawks,Ty Arbour,34.0,LW,"Waubaushene, ON",CA,1931,arbouty01
Detroit Falcons,George Hay,33.0,LW,"Listowel, ON",CA,1931,hayge01
Montreal Canadiens,Sylvio Mantha,28.0,D,"Montreal, QC",CA,1931,manthsy01
New York Rangers,Bill Cook,34.0,RW,"Brantford, ON",CA,1931,cookbi01
Toronto Maple Leafs,Hap Day,29.0,D,"Owen Sound, ON",CA,1931,dayha01
Boston Bruins,Lionel Hitchman,28.0,D,"Toronto, ON",CA,1930,hitchli01
Chicago Black Hawks,Duke Dukowski,27.0,D,"Regina, SK",CA,1930,dukowdu01
Detroit Cougars,Reg Noble,33.0,C/D,"Collingwood, ON",CA,1930,noblere01
Montreal Canadiens,Sylvio Mantha,27.0,D,"Montreal, QC",CA,1930,manthsy01
New York Rangers,Bill Cook,33.0,RW,"Brantford, ON",CA,1930,cookbi01
Toronto Maple Leafs,Hap Day,28.0,D,"Owen Sound, ON",CA,1930,dayha01
Boston Bruins,Lionel Hitchman,27.0,D,"Toronto, ON",CA,1929,hitchli01
Chicago Black Hawks,Dick Irvin,36.0,C,"Hamilton, ON",CA,1929,irvindi01
Detroit Cougars,Reg Noble,32.0,C/D,"Collingwood, ON",CA,1929,noblere01
Montreal Canadiens,Sylvio Mantha,26.0,D,"Montreal, QC",CA,1929,manthsy01
New York Rangers,Bill Cook,32.0,RW,"Brantford, ON",CA,1929,cookbi01
Toronto Maple Leafs,Hap Day,27.0,D,"Owen Sound, ON",CA,1929,dayha01
Boston Bruins,Lionel Hitchman,26.0,D,"Toronto, ON",CA,1928,hitchli01
Chicago Black Hawks,Dick Irvin,35.0,C,"Hamilton, ON",CA,1928,irvindi01
Detroit Cougars,Reg Noble,31.0,C/D,"Collingwood, ON",CA,1928,noblere01
Montreal Canadiens,Sylvio Mantha,25.0,D,"Montreal, QC",CA,1928,manthsy01
New York Rangers,Bill Cook,31.0,RW,"Brantford, ON",CA,1928,cookbi01
Toronto Maple Leafs,Hap Day,26.0,D,"Owen Sound, ON",CA,1928,dayha01
Boston Bruins,Sprague Cleghorn,36.0,D,"Montreal, QC",CA,1927,cleghsp01
Chicago Black Hawks,Dick Irvin,34.0,C,"Hamilton, ON",CA,1927,irvindi01
Detroit Cougars,Art Duncan,35.0,D,"Sault Ste. Marie, ON",CA,1927,duncaar01
Montreal Canadiens,Sylvio Mantha,24.0,D,"Montreal, QC",CA,1927,manthsy01
New York Rangers,Bill Cook,30.0,RW,"Brantford, ON",CA,1927,cookbi01
Boston Bruins,Sprague Cleghorn,35.0,D,"Montreal, QC",CA,1926,cleghsp01
Montreal Canadiens,Billy Coutu,33.0,D,"North Bay, ON",CA,1926,coutubi01
Boston Bruins,No Captain,,,,,1925,
Montreal Canadiens,Sprague Cleghorn,34.0,D,"Montreal, QC",CA,1925,cleghsp01
Montreal Canadiens,Sprague Cleghorn,33.0,D,"Montreal, QC",CA,1924,cleghsp01
Montreal Canadiens,Sprague Cleghorn,32.0,D,"Montreal, QC",CA,1923,cleghsp01
Montreal Canadiens,Newsy Lalonde,34.0,C,"Cornwall, ON",CA,1922,lalonne01
Montreal Canadiens,Newsy Lalonde,33.0,C,"Cornwall, ON",CA,1921,lalonne01
Montreal Canadiens,Newsy Lalonde,32.0,C,"Cornwall, ON",CA,1920,lalonne01
Montreal Canadiens,Newsy Lalonde,31.0,C,"Cornwall, ON",CA,1919,lalonne01
Montreal Canadiens,Newsy Lalonde,30.0,C,"Cornwall, ON",CA,1918,lalonne01
