Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Washington Capitals,Doug Mohns,41.0,LW/D,"Capreol, ON",CA,1975,mohnsdo01
Atlanta Flames,Keith McCreary,33.0,RW,"Sundridge, ON",CA,1974,mccreke01
Boston Bruins,John Bucyk,38.0,LW,"Edmonton, AB",CA,1974,bucykjo01
Buffalo Sabres,Gerry Meehan,27.0,C,"Toronto, ON",CA,1974,meehage01
Chicago Black Hawks,No Captain,,,,,1974,
Detroit Red Wings,Red Berenson,34.0,C,"Regina, SK",CA,1974,berenre01
Detroit Red Wings,Gary Bergman,35.0,D,"Kenora, ON",CA,1974,bergmga01
Detroit Red Wings,Alex Delvecchio,41.0,C/LW,"Fort William, ON",CA,1974,delveal01
Detroit Red Wings,Ted Harris,37.0,D,"Winnipeg, MB",CA,1974,harrite01
Detroit Red Wings,Larry Johnston,30.0,D,"Kitchener, ON",CA,1974,johnsla01
Detroit Red Wings,Nick Libett,28.0,LW,"Stratford, ON",CA,1974,libetni01
Detroit Red Wings,Mickey Redmond,26.0,RW,"Kirkland Lake, ON",CA,1974,redmomi01
Los Angeles Kings,Terry Harper,34.0,D,"Regina, SK",CA,1974,harpete01
Minnesota North Stars,Ted Harris,37.0,D,"Winnipeg, MB",CA,1974,harrite01
Montreal Canadiens,Henri Richard,37.0,C,"Montreal, QC",CA,1974,richahe01
New York Islanders,Ed Westfall,33.0,D/RW,"Belleville, ON",CA,1974,westfed01
New York Rangers,Vic Hadfield,33.0,LW,"Oakville, ON",CA,1974,hadfivi01
Philadelphia Flyers,Bobby Clarke,24.0,C,"Flin Flon, MB",CA,1974,clarkbo01
Pittsburgh Penguins,Ron Schock,30.0,C,"Chapleau, ON",CA,1974,schocro01
St. Louis Blues,Barclay Plager,32.0,D,"Kirkland Lake, ON",CA,1974,plageba01
Toronto Maple Leafs,Dave Keon,33.0,C,"Noranda, QC",CA,1974,keonda01
Vancouver Canucks,Orland Kurtenbach,37.0,C,"Cudworth, SK",CA,1974,kurteor01
Atlanta Flames,Keith McCreary,32.0,RW,"Sundridge, ON",CA,1973,mccreke01
Boston Bruins,No Captain,,,,,1973,
Buffalo Sabres,Gerry Meehan,26.0,C,"Toronto, ON",CA,1973,meehage01
Chicago Black Hawks,No Captain,,,,,1973,
Detroit Red Wings,Alex Delvecchio,40.0,C/LW,"Fort William, ON",CA,1973,delveal01
Los Angeles Kings,Bob Pulford,36.0,LW,"Newton Robinson, ON",CA,1973,pulfobo01
Minnesota North Stars,Ted Harris,36.0,D,"Winnipeg, MB",CA,1973,harrite01
Montreal Canadiens,Henri Richard,36.0,C,"Montreal, QC",CA,1973,richahe01
New York Islanders,Ed Westfall,32.0,D/RW,"Belleville, ON",CA,1973,westfed01
New York Rangers,Vic Hadfield,32.0,LW,"Oakville, ON",CA,1973,hadfivi01
Philadelphia Flyers,Bobby Clarke,23.0,C,"Flin Flon, MB",CA,1973,clarkbo01
Philadelphia Flyers,Ed Van Impe,32.0,D,"Saskatoon, SK",CA,1973,vanimed01
Pittsburgh Penguins,No Captain,,,,,1973,
St. Louis Blues,Barclay Plager,31.0,D,"Kirkland Lake, ON",CA,1973,plageba01
Toronto Maple Leafs,Dave Keon,32.0,C,"Noranda, QC",CA,1973,keonda01
Vancouver Canucks,Orland Kurtenbach,36.0,C,"Cudworth, SK",CA,1973,kurteor01
Boston Bruins,No Captain,,,,,1972,
Buffalo Sabres,Gerry Meehan,25.0,C,"Toronto, ON",CA,1972,meehage01
Chicago Black Hawks,No Captain,,,,,1972,
Detroit Red Wings,Alex Delvecchio,39.0,C/LW,"Fort William, ON",CA,1972,delveal01
Los Angeles Kings,Bob Pulford,35.0,LW,"Newton Robinson, ON",CA,1972,pulfobo01
Minnesota North Stars,Ted Harris,35.0,D,"Winnipeg, MB",CA,1972,harrite01
Montreal Canadiens,Henri Richard,35.0,C,"Montreal, QC",CA,1972,richahe01
New York Rangers,Vic Hadfield,31.0,LW,"Oakville, ON",CA,1972,hadfivi01
Philadelphia Flyers,Ed Van Impe,31.0,D,"Saskatoon, SK",CA,1972,vanimed01
Pittsburgh Penguins,No Captain,,,,,1972,
St. Louis Blues,Barclay Plager,30.0,D,"Kirkland Lake, ON",CA,1972,plageba01
St. Louis Blues,Bob Plager,28.0,D,"Kirkland Lake, ON",CA,1972,plagebo01
St. Louis Blues,Frank St. Marseille,32.0,RW,"Levack, ON",CA,1972,stmarfr01
St. Louis Blues,Garry Unger,24.0,C,"Calgary, AB",CA,1972,ungerga01
St. Louis Blues,Jimmy Roberts,31.0,D/RW,"Toronto, ON",CA,1972,roberji01
Toronto Maple Leafs,Dave Keon,31.0,C,"Noranda, QC",CA,1972,keonda01
Vancouver Canucks,Orland Kurtenbach,35.0,C,"Cudworth, SK",CA,1972,kurteor01
Boston Bruins,No Captain,,,,,1971,
Buffalo Sabres,Floyd Smith,35.0,RW,"Perth, ON",CA,1971,smithfl01
Chicago Black Hawks,No Captain,,,,,1971,
Detroit Red Wings,Alex Delvecchio,38.0,C/LW,"Fort William, ON",CA,1971,delveal01
Los Angeles Kings,Larry Cahan,37.0,D,"Fort William, ON",CA,1971,cahanla01
Minnesota North Stars,Ted Harris,34.0,D,"Winnipeg, MB",CA,1971,harrite01
Montreal Canadiens,Jean Beliveau,39.0,C,"Trois-Rivieres, QC",CA,1971,belivje01
New York Rangers,Bob Nevin,32.0,RW,"South Porcupine, ON",CA,1971,nevinbo01
Philadelphia Flyers,Ed Van Impe,30.0,D,"Saskatoon, SK",CA,1971,vanimed01
Pittsburgh Penguins,No Captain,,,,,1971,
St. Louis Blues,Red Berenson,31.0,C,"Regina, SK",CA,1971,berenre01
St. Louis Blues,Barclay Plager,29.0,D,"Kirkland Lake, ON",CA,1971,plageba01
St. Louis Blues,Bob Plager,27.0,D,"Kirkland Lake, ON",CA,1971,plagebo01
St. Louis Blues,Frank St. Marseille,31.0,RW,"Levack, ON",CA,1971,stmarfr01
St. Louis Blues,Garry Unger,23.0,C,"Calgary, AB",CA,1971,ungerga01
Toronto Maple Leafs,Dave Keon,30.0,C,"Noranda, QC",CA,1971,keonda01
Vancouver Canucks,Orland Kurtenbach,34.0,C,"Cudworth, SK",CA,1971,kurteor01
Boston Bruins,No Captain,,,,,1970,
Chicago Black Hawks,Pat Stapleton,29.0,D,"Sarnia, ON",CA,1970,staplpa01
Detroit Red Wings,Alex Delvecchio,37.0,C/LW,"Fort William, ON",CA,1970,delveal01
Los Angeles Kings,Larry Cahan,36.0,D,"Fort William, ON",CA,1970,cahanla01
Minnesota North Stars,Claude Larose,27.0,RW,"Hearst, ON",CA,1970,laroscl01
Montreal Canadiens,Jean Beliveau,38.0,C,"Trois-Rivieres, QC",CA,1970,belivje01
New York Rangers,Bob Nevin,31.0,RW,"South Porcupine, ON",CA,1970,nevinbo01
Philadelphia Flyers,Ed Van Impe,29.0,D,"Saskatoon, SK",CA,1970,vanimed01
Pittsburgh Penguins,No Captain,,,,,1970,
St. Louis Blues,Al Arbour,37.0,D,"Sudbury, ON",CA,1970,arboual01
Toronto Maple Leafs,Dave Keon,29.0,C,"Noranda, QC",CA,1970,keonda01
Boston Bruins,No Captain,,,,,1969,
Chicago Black Hawks,No Captain,,,,,1969,
Detroit Red Wings,Alex Delvecchio,36.0,C/LW,"Fort William, ON",CA,1969,delveal01
Los Angeles Kings,Bob Wall,26.0,D,"Richmond Hill, ON",CA,1969,wallbo01
Minnesota North Stars,Moose Vasko,33.0,D,"Duparquet, QC",CA,1969,vaskomo01
Montreal Canadiens,Jean Beliveau,37.0,C,"Trois-Rivieres, QC",CA,1969,belivje01
New York Rangers,Bob Nevin,30.0,RW,"South Porcupine, ON",CA,1969,nevinbo01
Philadelphia Flyers,Ed Van Impe,28.0,D,"Saskatoon, SK",CA,1969,vanimed01
Pittsburgh Penguins,Earl Ingarfield,34.0,C,"Lethbridge, AB",CA,1969,ingarea01
Pittsburgh Penguins,No Captain,,,,,1969,
St. Louis Blues,Al Arbour,36.0,D,"Sudbury, ON",CA,1969,arboual01
Toronto Maple Leafs,George Armstrong,38.0,RW,"Skead, ON",CA,1969,armstge01
Boston Bruins,No Captain,,,,,1968,
Chicago Black Hawks,Pierre Pilote,36.0,D,"Kenogami, QC",CA,1968,pilotpi01
Detroit Red Wings,Alex Delvecchio,35.0,C/LW,"Fort William, ON",CA,1968,delveal01
Los Angeles Kings,Bob Wall,25.0,D,"Richmond Hill, ON",CA,1968,wallbo01
Minnesota North Stars,Bob Woytowich,26.0,D,"Winnipeg, MB",CA,1968,woytobo01
Montreal Canadiens,Jean Beliveau,36.0,C,"Trois-Rivieres, QC",CA,1968,belivje01
New York Rangers,Bob Nevin,29.0,RW,"South Porcupine, ON",CA,1968,nevinbo01
Philadelphia Flyers,Lou Angotti,30.0,C/RW,"Toronto, ON",CA,1968,angotlo01
Pittsburgh Penguins,Ab McDonald,31.0,LW,"Winnipeg, MB",CA,1968,mcdonab01
St. Louis Blues,Al Arbour,35.0,D,"Sudbury, ON",CA,1968,arboual01
Toronto Maple Leafs,George Armstrong,37.0,RW,"Skead, ON",CA,1968,armstge01
Boston Bruins,John Bucyk,31.0,LW,"Edmonton, AB",CA,1967,bucykjo01
Chicago Black Hawks,Pierre Pilote,35.0,D,"Kenogami, QC",CA,1967,pilotpi01
Detroit Red Wings,Alex Delvecchio,34.0,C/LW,"Fort William, ON",CA,1967,delveal01
Montreal Canadiens,Jean Beliveau,35.0,C,"Trois-Rivieres, QC",CA,1967,belivje01
New York Rangers,Bob Nevin,28.0,RW,"South Porcupine, ON",CA,1967,nevinbo01
Toronto Maple Leafs,George Armstrong,36.0,RW,"Skead, ON",CA,1967,armstge01
Boston Bruins,Leo Boivin,33.0,D,"Prescott, ON",CA,1966,boivile01
Chicago Black Hawks,Pierre Pilote,34.0,D,"Kenogami, QC",CA,1966,pilotpi01
Detroit Red Wings,Alex Delvecchio,33.0,C/LW,"Fort William, ON",CA,1966,delveal01
Montreal Canadiens,Jean Beliveau,34.0,C,"Trois-Rivieres, QC",CA,1966,belivje01
New York Rangers,Bob Nevin,27.0,RW,"South Porcupine, ON",CA,1966,nevinbo01
Toronto Maple Leafs,George Armstrong,35.0,RW,"Skead, ON",CA,1966,armstge01
Boston Bruins,Leo Boivin,32.0,D,"Prescott, ON",CA,1965,boivile01
Chicago Black Hawks,Pierre Pilote,33.0,D,"Kenogami, QC",CA,1965,pilotpi01
Detroit Red Wings,Alex Delvecchio,32.0,C/LW,"Fort William, ON",CA,1965,delveal01
Montreal Canadiens,Jean Beliveau,33.0,C,"Trois-Rivieres, QC",CA,1965,belivje01
New York Rangers,Camille Henry,32.0,C,"Quebec City, QC",CA,1965,henryca01
New York Rangers,Bob Nevin,26.0,RW,"South Porcupine, ON",CA,1965,nevinbo01
Toronto Maple Leafs,George Armstrong,34.0,RW,"Skead, ON",CA,1965,armstge01
Boston Bruins,Leo Boivin,31.0,D,"Prescott, ON",CA,1964,boivile01
Chicago Black Hawks,Pierre Pilote,32.0,D,"Kenogami, QC",CA,1964,pilotpi01
Detroit Red Wings,Alex Delvecchio,31.0,C/LW,"Fort William, ON",CA,1964,delveal01
Montreal Canadiens,Jean Beliveau,32.0,C,"Trois-Rivieres, QC",CA,1964,belivje01
New York Rangers,Andy Bathgate,31.0,RW,"Winnipeg, MB",CA,1964,bathgan01
New York Rangers,Camille Henry,31.0,C,"Quebec City, QC",CA,1964,henryca01
Toronto Maple Leafs,George Armstrong,33.0,RW,"Skead, ON",CA,1964,armstge01
Boston Bruins,Don McKenney,28.0,C,"Smiths Falls, ON",CA,1963,mckendo01
Chicago Black Hawks,Pierre Pilote,31.0,D,"Kenogami, QC",CA,1963,pilotpi01
Detroit Red Wings,Alex Delvecchio,30.0,C/LW,"Fort William, ON",CA,1963,delveal01
Montreal Canadiens,Jean Beliveau,31.0,C,"Trois-Rivieres, QC",CA,1963,belivje01
New York Rangers,Andy Bathgate,30.0,RW,"Winnipeg, MB",CA,1963,bathgan01
Toronto Maple Leafs,George Armstrong,32.0,RW,"Skead, ON",CA,1963,armstge01
