Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,YR_INT,Award,Description,pid,PIM
1956-57,NHL,Andy Hebenton,27,NYR,RW,21.0,23.0,44.0,,,,,,,3.4,0.7,0.0,4.1,1957,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,hebenan01,15.0
1955-56,NHL,Dutch Reibel,25,DET,C,17.0,39.0,56.0,,,,,,,5.1,1.3,0.0,6.4,1956,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,reibedu01,10.0
1954-55,NHL,Sid Smith,29,TOR,LW,33.0,21.0,54.0,,,,,,,6.7,1.5,0.0,8.1,1955,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,smithsi01,12.0
1953-54,NHL,Red Kelly,26,DET,D,16.0,33.0,49.0,,,,,,,6.2,5.1,0.0,11.3,1954,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,kellyre01,18.0
1952-53,NHL,Red Kelly,25,DET,D,19.0,27.0,46.0,,,,,,,6.5,5.8,0.0,12.2,1953,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,kellyre01,8.0
1951-52,NHL,Sid Smith,26,TOR,LW,27.0,30.0,57.0,,,,,,,5.7,1.3,0.0,7.0,1952,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,smithsi01,6.0
1950-51,NHL,Red Kelly,23,DET,D,17.0,37.0,54.0,,,,,,,6.3,5.8,0.0,12.1,1951,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,kellyre01,24.0
1949-50,NHL,Edgar Laprade,30,NYR,C,22.0,22.0,44.0,,,,,,,4.3,0.8,0.0,5.1,1950,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,lapraed01,2.0
1948-49,NHL,Bill Quackenbush,26,DET,D,6.0,17.0,23.0,,,,,,,2.2,4.2,0.0,6.4,1949,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,quackbi01,0.0
1947-48,NHL,Buddy O'Connor,31,NYR,C,24.0,36.0,60.0,,,,,,,5.6,0.7,0.0,6.3,1948,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,oconnbu01,8.0
1946-47,NHL,Bobby Bauer,31,BOS,RW,30.0,24.0,54.0,,,,,,,5.2,1.0,0.0,6.2,1947,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bauerbo01,4.0
1945-46,NHL,Toe Blake,33,MTL,LW,29.0,21.0,50.0,,,,,,,4.9,1.1,0.0,6.0,1946,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,blaketo01,2.0
1944-45,NHL,Bill Mosienko,23,CBH,RW,28.0,26.0,54.0,,,,,,,4.1,0.8,0.0,4.9,1945,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,mosiebi01,0.0
1943-44,NHL,Clint Smith,30,CBH,C,23.0,49.0,72.0,,,,,,,3.8,1.1,0.0,4.9,1944,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,smithcl01,4.0
1942-43,NHL,Max Bentley,22,CBH,C,26.0,44.0,70.0,,,,,,,4.8,0.8,0.0,5.6,1943,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bentlma01,2.0
1941-42,NHL,Syl Apps,27,TOR,C,18.0,23.0,41.0,,,,,,,3.6,0.7,0.0,4.3,1942,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,appssy01,0.0
1940-41,NHL,Bobby Bauer,25,BOS,RW,17.0,22.0,39.0,,,,,,,3.8,1.1,0.0,4.8,1941,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bauerbo01,2.0
1939-40,NHL,Bobby Bauer,24,BOS,RW,17.0,26.0,43.0,,,,,,,4.8,1.0,0.0,5.8,1940,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bauerbo01,4.0
1938-39,NHL,Clint Smith,25,NYR,C,21.0,20.0,41.0,,,,,,,4.5,0.9,0.0,5.4,1939,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,smithcl01,2.0
1937-38,NHL,Gordie Drillon,24,TOR,RW,26.0,26.0,52.0,,,,,,,6.7,0.8,0.0,7.4,1938,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,drillgo01,4.0
1936-37,NHL,Marty Barry,31,DET,C,17.0,27.0,44.0,,,,,,,5.1,1.0,0.0,6.1,1937,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,barryma01,6.0
1935-36,NHL,Doc Romnes,27,CBH,LW/C,13.0,25.0,38.0,,,,,,,4.1,1.0,0.0,5.1,1936,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,romnedo01,6.0
1934-35,NHL,Frank Boucher,33,NYR,C,13.0,32.0,45.0,,,,,,,4.6,0.6,0.0,5.2,1935,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bouchfr01,2.0
1933-34,NHL,Frank Boucher,32,NYR,C,14.0,30.0,44.0,,,,,,,4.9,0.8,0.0,5.8,1934,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bouchfr01,4.0
1932-33,NHL,Frank Boucher,31,NYR,C,7.0,28.0,35.0,,,,,,,3.5,0.8,0.0,4.3,1933,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bouchfr01,4.0
1931-32,NHL,Joe Primeau,26,TOR,C,13.0,37.0,50.0,,,,,,,5.7,0.8,0.0,6.4,1932,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,primejo01,25.0
1930-31,NHL,Frank Boucher,29,NYR,C,12.0,27.0,39.0,,,,,,,4.6,1.0,0.0,5.6,1931,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bouchfr01,18.0
1929-30,NHL,Frank Boucher,28,NYR,C,26.0,36.0,62.0,,,,,,,7.6,0.7,0.0,8.2,1930,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bouchfr01,16.0
1928-29,NHL,Frank Boucher,27,NYR,C,10.0,16.0,26.0,,,,,,,6.2,1.0,0.0,7.1,1929,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bouchfr01,8.0
1927-28,NHL,Frank Boucher,26,NYR,C,23.0,12.0,35.0,,,,,,,9.2,1.0,0.0,10.2,1928,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,bouchfr01,12.0
1926-27,NHL,Billy Burch,26,NYA,C,19.0,8.0,27.0,,,,,,,6.5,0.9,0.0,7.4,1927,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,burchbi01,42.0
1925-26,NHL,Frank Nighbor,33,OTS,C,12.0,14.0,26.0,,,,,,,3.8,1.4,0.0,5.2,1926,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,nighbfr01,40.0
1924-25,NHL,Frank Nighbor,32,OTS,C,5.0,5.0,10.0,,,,,,,0.2,0.8,0.0,1.0,1925,Lady Byng,Player who exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability,nighbfr01,18.0
2019-20,NHL,Cale Makar,21,COL,D,12.0,38.0,50.0,12.0,,,,,,4.8,2.9,0.0,7.7,2020,Calder,Rookie of the Year,makarca01,
2018-19,NHL,Elias Pettersson,20,VAN,C,28.0,38.0,66.0,3.0,,,,,,6.0,1.7,0.0,7.8,2019,Calder,Rookie of the Year,petteel01,
2017-18,NHL,Mathew Barzal,20,NYI,C,22.0,63.0,85.0,1.0,,,,,,6.8,1.3,0.0,8.2,2018,Calder,Rookie of the Year,barzama01,
2016-17,NHL,Auston Matthews,19,TOR,C,40.0,29.0,69.0,2.0,,,,,,8.2,1.5,0.0,9.7,2017,Calder,Rookie of the Year,matthau01,
2015-16,NHL,Artemi Panarin,24,CHI,LW,30.0,47.0,77.0,8.0,,,,,,7.9,2.0,0.0,9.8,2016,Calder,Rookie of the Year,panarar01,
2014-15,NHL,Aaron Ekblad,18,FLA,D,12.0,27.0,39.0,12.0,,,,,,3.5,5.0,0.0,8.5,2015,Calder,Rookie of the Year,ekblaaa01,
2013-14,NHL,Nathan MacKinnon,18,COL,C,24.0,39.0,63.0,20.0,,,,,,5.7,2.1,0.0,7.7,2014,Calder,Rookie of the Year,mackina01,
2012-13,NHL,Jonathan Huberdeau,19,FLA,C,14.0,17.0,31.0,-15.0,,,,,,3.0,0.4,0.0,3.3,2013,Calder,Rookie of the Year,huberjo01,
2011-12,NHL,Gabriel Landeskog,19,COL,LW,22.0,30.0,52.0,20.0,,,,,,4.0,2.8,0.0,6.8,2012,Calder,Rookie of the Year,landega01,
2010-11,NHL,Jeff Skinner,18,CAR,RW,31.0,32.0,63.0,3.0,,,,,,6.5,1.5,0.0,8.1,2011,Calder,Rookie of the Year,skinnje01,
2009-10,NHL,Tyler Myers,19,BUF,D,11.0,37.0,48.0,13.0,,,,,,4.0,5.8,0.0,9.8,2010,Calder,Rookie of the Year,myersty01,
2008-09,NHL,Steve Mason,20,CBJ,G,0.0,0.0,0.0,0.0,33.0,20.0,7.0,2.29,0.9159999999999999,0.0,0.0,11.2,11.2,2009,Calder,Rookie of the Year,masonst01,
2007-08,NHL,Patrick Kane,19,CHI,RW,21.0,51.0,72.0,-5.0,,,,,,5.9,1.3,0.0,7.2,2008,Calder,Rookie of the Year,kanepa01,
2006-07,NHL,Evgeni Malkin,20,PIT,LW,33.0,52.0,85.0,2.0,,,,,,7.8,1.6,0.0,9.4,2007,Calder,Rookie of the Year,malkiev01,
2005-06,NHL,Alex Ovechkin,20,WSH,LW,52.0,54.0,106.0,2.0,,,,,,11.0,1.6,0.0,12.7,2006,Calder,Rookie of the Year,ovechal01,
2003-04,NHL,Andrew Raycroft,23,BOS,G,0.0,2.0,2.0,0.0,29.0,18.0,9.0,2.05,0.9259999999999999,0.0,0.0,12.6,12.6,2004,Calder,Rookie of the Year,raycran01,
2002-03,NHL,Barret Jackman,21,STL,D,3.0,16.0,19.0,23.0,,,,,,0.6,4.8,0.0,5.4,2003,Calder,Rookie of the Year,jackmba01,
2001-02,NHL,Dany Heatley,21,ATL,RW,26.0,41.0,67.0,-19.0,,,,,,5.9,0.9,0.0,6.8,2002,Calder,Rookie of the Year,heatlda01,
2000-01,NHL,Evgeni Nabokov,25,SJS,G,0.0,2.0,2.0,0.0,32.0,21.0,7.0,2.19,0.915,0.0,0.0,11.7,11.7,2001,Calder,Rookie of the Year,nabokev01,
1999-00,NHL,Scott Gomez,20,NJD,C,19.0,51.0,70.0,14.0,,,,,,5.4,2.0,0.0,7.3,2000,Calder,Rookie of the Year,gomezsc01,
1998-99,NHL,Chris Drury,22,COL,C,20.0,24.0,44.0,9.0,,,,,,3.7,1.3,0.0,5.0,1999,Calder,Rookie of the Year,drurych01,
1997-98,NHL,Sergei Samsonov,19,BOS,LW,22.0,25.0,47.0,9.0,,,,,,4.1,1.5,0.0,5.5,1998,Calder,Rookie of the Year,samsose01,
1996-97,NHL,Bryan Berard,19,NYI,D,8.0,40.0,48.0,1.0,,,,,,3.8,3.8,0.0,7.6,1997,Calder,Rookie of the Year,berarbr01,
1995-96,NHL,Daniel Alfredsson,23,OTT,RW,26.0,35.0,61.0,-18.0,,,,,,4.4,0.8,0.0,5.3,1996,Calder,Rookie of the Year,alfreda01,
1994-95,NHL,Peter Forsberg,21,QUE,C,15.0,35.0,50.0,17.0,,,,,,4.1,0.9,0.0,5.0,1995,Calder,Rookie of the Year,forsbpe01,
1993-94,NHL,Martin Brodeur,21,NJD,G,0.0,0.0,0.0,0.0,27.0,11.0,8.0,2.4,0.915,0.0,0.0,8.9,8.9,1994,Calder,Rookie of the Year,brodema01,
1992-93,NHL,Teemu Selanne,22,WIN,RW,76.0,56.0,132.0,8.0,,,,,,12.2,1.3,0.0,13.4,1993,Calder,Rookie of the Year,selante01,
1991-92,NHL,Pavel Bure,20,VAN,RW,34.0,26.0,60.0,0.0,,,,,,4.8,0.8,0.0,5.7,1992,Calder,Rookie of the Year,burepa01,
1990-91,NHL,Ed Belfour,25,CHI,G,0.0,3.0,3.0,0.0,43.0,19.0,7.0,2.47,0.91,0.0,0.0,14.0,14.0,1991,Calder,Rookie of the Year,belfoed01,
1989-90,NHL,Sergei Makarov,31,CGY,RW,24.0,62.0,86.0,33.0,,,,,,5.0,1.8,0.0,6.8,1990,Calder,Rookie of the Year,makarse01,
1988-89,NHL,Brian Leetch,20,NYR,D,23.0,48.0,71.0,8.0,,,,,,5.3,3.6,0.0,9.0,1989,Calder,Rookie of the Year,leetcbr01,
1987-88,NHL,Joe Nieuwendyk,21,CGY,C,51.0,41.0,92.0,20.0,,,,,,7.7,1.0,0.0,8.7,1988,Calder,Rookie of the Year,nieuwjo01,
1986-87,NHL,Luc Robitaille,20,LAK,LW,45.0,39.0,84.0,-19.0,,,,,,6.4,0.4,0.0,6.8,1987,Calder,Rookie of the Year,robitlu01,
1985-86,NHL,Gary Suter,21,CGY,D,18.0,50.0,68.0,11.0,,,,,,4.4,3.7,0.0,8.0,1986,Calder,Rookie of the Year,suterga01,
1984-85,NHL,Mario Lemieux,19,PIT,C,43.0,57.0,100.0,-33.0,,,,,,7.2,0.3,0.0,7.5,1985,Calder,Rookie of the Year,lemiema01,
1983-84,NHL,Tom Barrasso,18,BUF,G,0.0,2.0,2.0,0.0,26.0,12.0,3.0,2.85,0.893,0.0,0.0,7.5,7.5,1984,Calder,Rookie of the Year,barrato01,
1982-83,NHL,Steve Larmer,21,CBH,RW,43.0,47.0,90.0,44.0,,,,,,6.3,2.0,0.0,8.4,1983,Calder,Rookie of the Year,larmest01,
1981-82,NHL,Dale Hawerchuk,18,WIN,C,45.0,58.0,103.0,-7.0,,,,,,6.8,1.0,0.0,7.9,1982,Calder,Rookie of the Year,hawerda01,
1980-81,NHL,Peter Stastny,24,QUE,C,39.0,70.0,109.0,10.0,,,,,,7.3,1.3,0.0,8.6,1981,Calder,Rookie of the Year,stastpe01,
1979-80,NHL,Ray Bourque,19,BOS,D,17.0,48.0,65.0,52.0,,,,,,4.7,7.1,0.0,11.8,1980,Calder,Rookie of the Year,bourqra01,
1978-79,NHL,Bobby Smith,20,MNS,C,30.0,44.0,74.0,-8.0,,,,,,5.0,1.2,0.0,6.1,1979,Calder,Rookie of the Year,smithbo01,
1977-78,NHL,Mike Bossy,21,NYI,RW,53.0,38.0,91.0,31.0,,,,,,8.8,1.6,0.0,10.3,1978,Calder,Rookie of the Year,bossymi01,
1976-77,NHL,Willi Plett,21,ATF,RW,33.0,23.0,56.0,15.0,,,,,,4.8,1.3,0.0,6.1,1977,Calder,Rookie of the Year,plettwi01,
1975-76,NHL,Bryan Trottier,19,NYI,C,32.0,63.0,95.0,27.0,,,,,,6.7,1.9,0.0,8.6,1976,Calder,Rookie of the Year,trottbr01,
1974-75,NHL,Eric Vail,21,ATF,LW,39.0,21.0,60.0,1.0,,,,,,4.9,1.2,0.0,6.1,1975,Calder,Rookie of the Year,vailer01,
1973-74,NHL,Denis Potvin,20,NYI,D,17.0,37.0,54.0,-17.0,,,,,,4.6,4.1,0.0,8.7,1974,Calder,Rookie of the Year,potvide01,
1972-73,NHL,Steve Vickers,21,NYR,LW,30.0,23.0,53.0,35.0,,,,,,4.1,1.8,0.0,5.9,1973,Calder,Rookie of the Year,vickest01,
1971-72,NHL,Ken Dryden,24,MTL,G,0.0,3.0,3.0,0.0,39.0,8.0,15.0,2.24,0.93,0.0,0.0,15.0,15.0,1972,Calder,Rookie of the Year,drydeke01,
1970-71,NHL,Gilbert Perreault,20,BUF,C,38.0,34.0,72.0,-38.0,,,,,,6.4,0.1,0.0,6.5,1971,Calder,Rookie of the Year,perregi01,
1969-70,NHL,Tony Esposito,26,CBH,G,0.0,2.0,2.0,0.0,38.0,17.0,8.0,2.17,0.932,0.0,0.0,14.7,14.7,1970,Calder,Rookie of the Year,esposto01,
1968-69,NHL,Danny Grant,22,MNS,LW,34.0,31.0,65.0,-13.0,,,,,,5.6,1.2,0.0,6.8,1969,Calder,Rookie of the Year,grantda01,
1967-68,NHL,Derek Sanderson,21,BOS,C,24.0,25.0,49.0,11.0,,,,,,3.8,1.0,0.0,4.8,1968,Calder,Rookie of the Year,sandede01,
1966-67,NHL,Bobby Orr,18,BOS,D,13.0,28.0,41.0,1.0,,,,,,3.8,2.2,0.0,6.0,1967,Calder,Rookie of the Year,orrbo01,
1965-66,NHL,Brit Selby,20,TOR,LW,14.0,13.0,27.0,3.0,,,,,,0.9,1.1,0.0,2.0,1966,Calder,Rookie of the Year,selbybr01,
1964-65,NHL,Roger Crozier,22,DET,G,0.0,0.0,0.0,,40.0,22.0,7.0,2.42,0.9129999999999999,0.0,0.0,14.4,14.4,1965,Calder,Rookie of the Year,croziro01,
1963-64,NHL,Jacques Laperriere,22,MTL,D,2.0,28.0,30.0,25.0,,,,,,2.0,4.7,0.0,6.7,1964,Calder,Rookie of the Year,laperja01,
1962-63,NHL,Kent Douglas,26,TOR,D,7.0,15.0,22.0,18.0,,,,,,1.5,5.1,0.0,6.6,1963,Calder,Rookie of the Year,douglke01,
1961-62,NHL,Bobby Rousseau,21,MTL,RW,21.0,24.0,45.0,24.0,,,,,,2.8,1.4,0.0,4.3,1962,Calder,Rookie of the Year,roussbo01,
1960-61,NHL,Dave Keon,20,TOR,C,20.0,25.0,45.0,12.0,,,,,,2.8,1.4,0.0,4.2,1961,Calder,Rookie of the Year,keonda01,
1959-60,NHL,Bill Hay,24,CBH,C,18.0,37.0,55.0,17.0,,,,,,3.7,1.2,0.0,4.9,1960,Calder,Rookie of the Year,haybi01,
1958-59,NHL,Ralph Backstrom,21,MTL,C,18.0,22.0,40.0,,,,,,,2.5,1.3,0.0,3.8,1959,Calder,Rookie of the Year,backsra01,
1957-58,NHL,Frank Mahovlich,20,TOR,LW,20.0,16.0,36.0,,,,,,,2.5,0.8,0.0,3.3,1958,Calder,Rookie of the Year,mahovfr01,
1956-57,NHL,Larry Regan,26,BOS,RW,14.0,19.0,33.0,,,,,,,1.6,1.2,0.0,2.8,1957,Calder,Rookie of the Year,reganla01,
1955-56,NHL,Glenn Hall,24,DET,G,0.0,0.0,0.0,,30.0,24.0,16.0,2.1,0.925,0.0,0.0,14.5,14.5,1956,Calder,Rookie of the Year,hallgl01,
1954-55,NHL,Ed Litzenberger,22,TOT,RW,23.0,28.0,51.0,,,,,,,5.0,0.8,0.0,5.8,1955,Calder,Rookie of the Year,litzeed01,
1953-54,NHL,Camille Henry,21,NYR,LW,24.0,15.0,39.0,,,,,,,4.6,0.8,0.0,5.4,1954,Calder,Rookie of the Year,henryca01,
1952-53,NHL,Gump Worsley,23,NYR,G,0.0,0.0,0.0,,13.0,29.0,8.0,3.02,,0.0,0.0,4.4,4.4,1953,Calder,Rookie of the Year,worslgu01,
1951-52,NHL,Bernie Geoffrion,20,MTL,RW,30.0,24.0,54.0,,,,,,,5.8,1.2,0.0,7.0,1952,Calder,Rookie of the Year,geoffbe01,
1950-51,NHL,Terry Sawchuk,21,DET,G,0.0,0.0,0.0,,44.0,13.0,13.0,1.97,,0.0,0.0,17.0,17.0,1951,Calder,Rookie of the Year,sawchte01,
1949-50,NHL,Jack Gelineau,25,BOS,G,0.0,0.0,0.0,,22.0,30.0,15.0,3.28,,0.0,0.0,7.3,7.3,1950,Calder,Rookie of the Year,gelinja01,
1948-49,NHL,Pentti Lund,23,NYR,RW,14.0,16.0,30.0,,,,,,,1.8,0.8,0.0,2.6,1949,Calder,Rookie of the Year,lundpe01,
1947-48,NHL,Jim McFadden,27,DET,C,24.0,24.0,48.0,,,,,,,4.5,1.2,0.0,5.7,1948,Calder,Rookie of the Year,mcfadji01,
1946-47,NHL,Howie Meeker,23,TOR,RW,27.0,18.0,45.0,,,,,,,4.3,1.0,0.0,5.3,1947,Calder,Rookie of the Year,meekeho01,
1945-46,NHL,Edgar Laprade,26,NYR,C,15.0,19.0,34.0,,,,,,,2.3,0.6,0.0,2.9,1946,Calder,Rookie of the Year,lapraed01,
1944-45,NHL,Frank McCool,26,TOR,G,0.0,0.0,0.0,,24.0,22.0,4.0,3.22,,0.0,0.0,10.1,10.1,1945,Calder,Rookie of the Year,mccoofr01,
1943-44,NHL,Gus Bodnar,20,TOR,C,22.0,40.0,62.0,,,,,,,3.4,1.2,0.0,4.5,1944,Calder,Rookie of the Year,bodnagu01,
1942-43,NHL,Gaye Stewart,19,TOR,LW,24.0,23.0,47.0,,,,,,,2.9,1.0,0.0,4.0,1943,Calder,Rookie of the Year,stewaga01,
1941-42,NHL,Grant Warwick,20,NYR,RW,16.0,17.0,33.0,,,,,,,2.1,0.8,0.0,3.0,1942,Calder,Rookie of the Year,warwigr01,
1940-41,NHL,John Quilty,20,MTL,C,18.0,16.0,34.0,,,,,,,3.3,0.6,0.0,3.9,1941,Calder,Rookie of the Year,quiltjo01,
1939-40,NHL,Kilby MacDonald,25,NYR,LW,15.0,13.0,28.0,,,,,,,2.6,1.2,0.0,3.8,1940,Calder,Rookie of the Year,macdoki01,
1938-39,NHL,Frank Brimsek,23,BOS,G,0.0,0.0,0.0,,33.0,9.0,1.0,1.56,,0.0,0.0,11.3,11.3,1939,Calder,Rookie of the Year,brimsfr01,
1937-38,NHL,Cully Dahlstrom,25,CBH,C,10.0,9.0,19.0,,,,,,,0.7,0.6,0.0,1.3,1938,Calder,Rookie of the Year,dahlscu01,
1936-37,NHL,Syl Apps,22,TOR,C,16.0,29.0,45.0,,,,,,,5.2,0.9,0.0,6.1,1937,Calder,Rookie of the Year,appssy01,
1935-36,NHL,Mike Karakas,24,CBH,G,0.0,0.0,0.0,,21.0,19.0,8.0,1.85,,0.0,0.0,9.5,9.5,1936,Calder,Rookie of the Year,karakmi01,
1934-35,NHL,Sweeney Schriner,23,NYA,LW,18.0,22.0,40.0,,,,,,,4.0,0.5,0.0,4.5,1935,Calder,Rookie of the Year,schrisw01,
1933-34,NHL,Russ Blinco,25,MTM,C,14.0,9.0,23.0,,,,,,,3.6,0.5,0.0,4.1,1934,Calder,Rookie of the Year,blincru01,
1932-33,NHL,Carl Voss,26,TOT,C,8.0,16.0,24.0,,,,,,,1.8,1.0,0.0,2.8,1933,Calder,Rookie of the Year,vossca01,
2019-20,NHL,Leon Draisaitl,24,EDM,C,43.0,67.0,110.0,-7.0,,,,,,10.9,1.8,0.0,12.8,2020,Ross,Top Point Scorer,draisle01,
2018-19,NHL,Nikita Kucherov,25,TBL,RW,41.0,87.0,128.0,24.0,,,,,,12.3,2.3,0.0,14.6,2019,Ross,Top Point Scorer,kucheni01,
2017-18,NHL,Connor McDavid,21,EDM,C,41.0,67.0,108.0,20.0,,,,,,10.5,2.6,0.0,13.1,2018,Ross,Top Point Scorer,mcdavco01,
2016-17,NHL,Connor McDavid,20,EDM,C,30.0,70.0,100.0,27.0,,,,,,9.7,3.0,0.0,12.8,2017,Ross,Top Point Scorer,mcdavco01,
2015-16,NHL,Patrick Kane,27,CHI,RW,46.0,60.0,106.0,17.0,,,,,,12.4,2.6,0.0,15.0,2016,Ross,Top Point Scorer,kanepa01,
2014-15,NHL,Jamie Benn,25,DAL,LW,35.0,52.0,87.0,1.0,,,,,,9.3,1.5,0.0,10.7,2015,Ross,Top Point Scorer,bennja01,
2013-14,NHL,Sidney Crosby,26,PIT,C,36.0,68.0,104.0,18.0,,,,,,10.7,2.8,0.0,13.5,2014,Ross,Top Point Scorer,crosbsi01,
2012-13,NHL,Martin St. Louis,37,TBL,RW,17.0,43.0,60.0,0.0,,,,,,5.4,0.8,0.0,6.3,2013,Ross,Top Point Scorer,stlouma01,
2011-12,NHL,Evgeni Malkin,25,PIT,C,50.0,59.0,109.0,18.0,,,,,,13.4,2.3,0.0,15.7,2012,Ross,Top Point Scorer,malkiev01,
2010-11,NHL,Daniel Sedin,30,VAN,LW,41.0,63.0,104.0,30.0,,,,,,11.5,2.8,0.0,14.3,2011,Ross,Top Point Scorer,sedinda01,
2009-10,NHL,Henrik Sedin,29,VAN,C,29.0,83.0,112.0,35.0,,,,,,10.6,2.9,0.0,13.5,2010,Ross,Top Point Scorer,sedinhe01,
2008-09,NHL,Evgeni Malkin,22,PIT,C,35.0,78.0,113.0,17.0,,,,,,10.2,2.4,0.0,12.6,2009,Ross,Top Point Scorer,malkiev01,
2007-08,NHL,Alex Ovechkin,22,WSH,LW,65.0,47.0,112.0,28.0,,,,,,14.1,3.1,0.0,17.2,2008,Ross,Top Point Scorer,ovechal01,
2006-07,NHL,Sidney Crosby,19,PIT,C,36.0,84.0,120.0,10.0,,,,,,11.3,2.0,0.0,13.3,2007,Ross,Top Point Scorer,crosbsi01,
2005-06,NHL,Joe Thornton,26,TOT,C,29.0,96.0,125.0,31.0,,,,,,10.2,3.1,0.0,13.3,2006,Ross,Top Point Scorer,thornjo01,
2003-04,NHL,Martin St. Louis,28,TBL,RW,38.0,56.0,94.0,35.0,,,,,,10.1,3.1,0.0,13.2,2004,Ross,Top Point Scorer,stlouma01,
2002-03,NHL,Peter Forsberg,29,COL,C,29.0,77.0,106.0,52.0,,,,,,10.2,3.4,0.0,13.6,2003,Ross,Top Point Scorer,forsbpe01,
2001-02,NHL,Jarome Iginla,24,CGY,RW,52.0,44.0,96.0,27.0,,,,,,11.2,3.2,0.0,14.4,2002,Ross,Top Point Scorer,iginlja01,
2000-01,NHL,Jaromir Jagr,28,PIT,RW,52.0,69.0,121.0,19.0,,,,,,12.1,2.0,0.0,14.1,2001,Ross,Top Point Scorer,jagrja01,
1999-00,NHL,Jaromir Jagr,27,PIT,RW,42.0,54.0,96.0,25.0,,,,,,9.9,2.3,0.0,12.2,2000,Ross,Top Point Scorer,jagrja01,
1998-99,NHL,Jaromir Jagr,26,PIT,RW,44.0,83.0,127.0,17.0,,,,,,11.9,2.7,0.0,14.6,1999,Ross,Top Point Scorer,jagrja01,
1997-98,NHL,Jaromir Jagr,25,PIT,RW,35.0,67.0,102.0,17.0,,,,,,10.9,1.7,0.0,12.6,1998,Ross,Top Point Scorer,jagrja01,
1996-97,NHL,Mario Lemieux,31,PIT,C,50.0,72.0,122.0,27.0,,,,,,12.8,1.7,0.0,14.5,1997,Ross,Top Point Scorer,lemiema01,
1995-96,NHL,Mario Lemieux,30,PIT,C,69.0,92.0,161.0,10.0,,,,,,16.6,0.7,0.0,17.4,1996,Ross,Top Point Scorer,lemiema01,
1994-95,NHL,Jaromir Jagr,22,PIT,RW,32.0,38.0,70.0,23.0,,,,,,7.3,1.0,0.0,8.3,1995,Ross,Top Point Scorer,jagrja01,
1993-94,NHL,Wayne Gretzky,33,LAK,C,38.0,92.0,130.0,-25.0,,,,,,11.0,0.1,0.0,11.1,1994,Ross,Top Point Scorer,gretzwa01,
1992-93,NHL,Mario Lemieux,27,PIT,C,69.0,91.0,160.0,55.0,,,,,,14.7,2.2,0.0,16.8,1993,Ross,Top Point Scorer,lemiema01,
